table_name,column_name,column_type
Authors,author_name,string
Authors,other_details,string
Business_Processes,process_id,num
Business_Processes,next_process_id,num
Business_Processes,process_name,string
Business_Processes,process_description,string
Business_Processes,other_details,string
Documents,document_id,num
Documents,author_name,string
Documents,document_name,string
Documents,document_description,string
Documents,other_details,string
Documents_Processes,document_id,num
Documents_Processes,process_id,num
Documents_Processes,process_outcome_code,string
Documents_Processes,process_status_code,string
Process_Outcomes,process_outcome_code,string
Process_Outcomes,process_outcome_description,string
Process_Status,process_status_code,string
Process_Status,process_status_description,string
Ref_Staff_Roles,staff_role_code,string
Ref_Staff_Roles,staff_role_description,string
Staff,staff_id,num
Staff,staff_details,string
Staff_in_Processes,document_id,num
Staff_in_Processes,process_id,num
Staff_in_Processes,staff_id,num
Staff_in_Processes,staff_role_code,string
Staff_in_Processes,date_from,date
Staff_in_Processes,date_to,date
Staff_in_Processes,other_details,string
