table_name,column_name,column_type
Collection_Subset_Members,Collection_ID,num
Collection_Subset_Members,Related_Collection_ID,num
Collection_Subset_Members,Collection_Subset_ID,num
Collection_Subsets,Collection_Subset_ID,num
Collection_Subsets,Collection_Subset_Name,string
Collection_Subsets,Collecrtion_Subset_Details,string
Collections,Collection_ID,num
Collections,Parent_Collection_ID,num
Collections,Collection_Name,string
Collections,Collection_Description,string
Document_Objects,Document_Object_ID,num
Document_Objects,Parent_Document_Object_ID,num
Document_Objects,Owner,string
Document_Objects,Description,string
Document_Objects,Other_Details,string
Document_Subset_Members,Document_Object_ID,num
Document_Subset_Members,Related_Document_Object_ID,num
Document_Subset_Members,Document_Subset_ID,num
Document_Subsets,Document_Subset_ID,num
Document_Subsets,Document_Subset_Name,string
Document_Subsets,Document_Subset_Details,string
Documents_in_Collections,Document_Object_ID,num
Documents_in_Collections,Collection_ID,num
