table_name,column_name,column_type
Accounts,Account_ID,num
Accounts,Statement_ID,num
Accounts,Account_Details,string
Documents,Document_ID,num
Documents,Document_Type_Code,string
Documents,Project_ID,num
Documents,Document_Date,date
Documents,Document_Name,string
Documents,Document_Description,string
Documents,Other_Details,string
Documents_with_Expenses,Document_ID,num
Documents_with_Expenses,Budget_Type_Code,string
Documents_with_Expenses,Document_Details,string
Projects,Project_ID,num
Projects,Project_Details,string
Ref_Budget_Codes,Budget_Type_Code,string
Ref_Budget_Codes,Budget_Type_Description,string
Ref_Document_Types,Document_Type_Code,string
Ref_Document_Types,Document_Type_Name,string
Ref_Document_Types,Document_Type_Description,string
Statements,Statement_ID,num
Statements,Statement_Details,string
