table_name,column_name,column_type
Addresses,Address_ID,string
Addresses,Line_1,string
Addresses,Line_2,string
Addresses,City_Town,string
Addresses,State_County,string
Addresses,Other_Details,string
Bookings,Booking_ID,num
Bookings,Customer_ID,num
Bookings,Workshop_Group_ID,string
Bookings,Status_Code,string
Bookings,Store_ID,num
Bookings,Order_Date,date
Bookings,Planned_Delivery_Date,date
Bookings,Actual_Delivery_Date,date
Bookings,Other_Order_Details,string
Bookings_Services,Order_ID,num
Bookings_Services,Product_ID,num
Clients,Client_ID,num
Clients,Address_ID,num
Clients,Customer_Email_Address,string
Clients,Customer_Name,string
Clients,Customer_Phone,string
Clients,Other_Details,string
Customer_Orders,Order_ID,num
Customer_Orders,Customer_ID,num
Customer_Orders,Store_ID,num
Customer_Orders,Order_Date,date
Customer_Orders,Planned_Delivery_Date,date
Customer_Orders,Actual_Delivery_Date,date
Customer_Orders,Other_Order_Details,string
Customers,Customer_ID,string
Customers,Address_ID,num
Customers,Customer_Name,string
Customers,Customer_Phone,string
Customers,Customer_Email_Address,string
Customers,Other_Details,string
Drama_Workshop_Groups,Workshop_Group_ID,num
Drama_Workshop_Groups,Address_ID,num
Drama_Workshop_Groups,Currency_Code,string
Drama_Workshop_Groups,Marketing_Region_Code,string
Drama_Workshop_Groups,Store_Name,string
Drama_Workshop_Groups,Store_Phone,string
Drama_Workshop_Groups,Store_Email_Address,string
Drama_Workshop_Groups,Other_Details,string
Invoice_Items,Invoice_Item_ID,num
Invoice_Items,Invoice_ID,num
Invoice_Items,Order_ID,num
Invoice_Items,Order_Item_ID,num
Invoice_Items,Product_ID,num
Invoice_Items,Order_Quantity,num
Invoice_Items,Other_Item_Details,string
Invoices,Invoice_ID,num
Invoices,Order_ID,num
Invoices,payment_method_code,string
Invoices,Product_ID,num
Invoices,Order_Quantity,string
Invoices,Other_Item_Details,string
Invoices,Order_Item_ID,num
Marketing_Regions,Marketing_Region_Code,string
Marketing_Regions,Marketing_Region_Name,string
Marketing_Regions,Marketing_Region_Descriptrion,string
Marketing_Regions,Other_Details,string
Order_Items,Order_Item_ID,num
Order_Items,Order_ID,num
Order_Items,Product_ID,num
Order_Items,Order_Quantity,string
Order_Items,Other_Item_Details,string
Performers,Performer_ID,num
Performers,Address_ID,num
Performers,Customer_Name,string
Performers,Customer_Phone,string
Performers,Customer_Email_Address,string
Performers,Other_Details,string
Performers_in_Bookings,Order_ID,num
Performers_in_Bookings,Performer_ID,num
Products,Product_ID,string
Products,Product_Name,string
Products,Product_Price,others
Products,Product_Description,string
Products,Other_Product_Service_Details,string
Ref_Payment_Methods,payment_method_code,string
Ref_Payment_Methods,payment_method_description,string
Ref_Service_Types,Service_Type_Code,string
Ref_Service_Types,Parent_Service_Type_Code,string
Ref_Service_Types,Service_Type_Description,string
Services,Service_ID,num
Services,Service_Type_Code,string
Services,Workshop_Group_ID,num
Services,Product_Description,string
Services,Product_Name,string
Services,Product_Price,others
Services,Other_Product_Service_Details,string
Stores,Store_ID,string
Stores,Address_ID,num
Stores,Marketing_Region_Code,string
Stores,Store_Name,string
Stores,Store_Phone,string
Stores,Store_Email_Address,string
Stores,Other_Details,string
