table_name,column_name,column_type
Achievements,achievement_id,num
Achievements,achievement_type_code,string
Achievements,student_id,num
Achievements,date_achievement,date
Achievements,achievement_details,string
Achievements,other_details,string
Addresses,address_id,num
Addresses,address_details,string
Behaviour_Monitoring,behaviour_monitoring_id,num
Behaviour_Monitoring,student_id,num
Behaviour_Monitoring,behaviour_monitoring_details,string
Classes,class_id,num
Classes,student_id,num
Classes,teacher_id,num
Classes,class_details,string
Detention,detention_id,num
Detention,detention_type_code,string
Detention,student_id,num
Detention,datetime_detention_start,date
Detention,datetime_detention_end,date
Detention,detention_summary,string
Detention,other_details,string
Ref_Achievement_Type,achievement_type_code,string
Ref_Achievement_Type,achievement_type_description,string
Ref_Address_Types,address_type_code,string
Ref_Address_Types,address_type_description,string
Ref_Detention_Type,detention_type_code,string
Ref_Detention_Type,detention_type_description,string
Ref_Event_Types,event_type_code,string
Ref_Event_Types,event_type_description,string
Student_Events,event_id,num
Student_Events,event_type_code,string
Student_Events,student_id,num
Student_Events,event_date,date
Student_Events,other_details,string
Student_Loans,student_loan_id,num
Student_Loans,student_id,num
Student_Loans,date_of_loan,date
Student_Loans,amount_of_loan,others
Student_Loans,other_details,string
Students,student_id,num
Students,bio_data,string
Students,student_details,string
Students_Addresses,student_address_id,num
Students_Addresses,address_id,num
Students_Addresses,address_type_code,string
Students_Addresses,student_id,num
Students_Addresses,date_from,date
Students_Addresses,date_to,date
Teachers,teacher_id,num
Teachers,teacher_details,string
Transcripts,transcript_id,num
Transcripts,student_id,num
Transcripts,date_of_transcript,date
Transcripts,transcript_details,string
