table_name,column_name,column_type
Features,Feature_ID,num
Features,Feature_Details,string
Hotels,hotel_id,num
Hotels,star_rating_code,string
Hotels,pets_allowed_yn,string
Hotels,price_range,num
Hotels,other_hotel_details,string
Locations,Location_ID,num
Locations,Location_Name,string
Locations,Address,string
Locations,Other_Details,string
Museums,Museum_ID,num
Museums,Museum_Details,string
Photos,Photo_ID,num
Photos,Tourist_Attraction_ID,num
Photos,Name,string
Photos,Description,string
Photos,Filename,string
Photos,Other_Details,string
Ref_Attraction_Types,Attraction_Type_Code,string
Ref_Attraction_Types,Attraction_Type_Description,string
Ref_Hotel_Star_Ratings,star_rating_code,string
Ref_Hotel_Star_Ratings,star_rating_description,string
Royal_Family,Royal_Family_ID,num
Royal_Family,Royal_Family_Details,string
Shops,Shop_ID,num
Shops,Shop_Details,string
Staff,Staff_ID,num
Staff,Tourist_Attraction_ID,num
Staff,Name,string
Staff,Other_Details,string
Street_Markets,Market_ID,num
Street_Markets,Market_Details,string
Theme_Parks,Theme_Park_ID,num
Theme_Parks,Theme_Park_Details,string
Tourist_Attraction_Features,Tourist_Attraction_ID,num
Tourist_Attraction_Features,Feature_ID,num
Tourist_Attractions,Tourist_Attraction_ID,num
Tourist_Attractions,Attraction_Type_Code,string
Tourist_Attractions,Location_ID,num
Tourist_Attractions,How_to_Get_There,string
Tourist_Attractions,Name,string
Tourist_Attractions,Description,string
Tourist_Attractions,Opening_Hours,string
Tourist_Attractions,Other_Details,string
Visitors,Tourist_ID,num
Visitors,Tourist_Details,string
Visits,Visit_ID,num
Visits,Tourist_Attraction_ID,num
Visits,Tourist_ID,num
Visits,Visit_Date,date
Visits,Visit_Details,string
