table_name,column_name,column_type
RA,capability,num
RA,prof_id,num
RA,salary,string
RA,student_id,num
course,course_id,num
course,credit,num
course,diff,num
course,name,string
prof,email,string
prof,first_name,string
prof,gender,boolean
prof,graduate_from,string
prof,last_name,string
prof,popularity,num
prof,prof_id,num
prof,teachingability,num
registration,course_id,num
registration,grade,string
registration,sat,num
registration,student_id,num
student,email,string
student,f_name,string
student,gpa,num
student,intelligence,num
student,l_name,string
student,phone_number,string
student,student_id,num
student,type,string
