table_name,column_name,column_type
Campuses,Id,num
Campuses,Campus,string
Campuses,Location,string
Campuses,County,string
Campuses,Year,num
csu_fees,Campus,num
csu_fees,Year,num
csu_fees,CampusFee,num
degrees,Year,num
degrees,Campus,num
degrees,Degrees,num
discipline_enrollments,Campus,num
discipline_enrollments,Discipline,num
discipline_enrollments,Year,num
discipline_enrollments,Undergraduate,num
discipline_enrollments,Graduate,num
enrollments,Campus,num
enrollments,Year,num
enrollments,TotalEnrollment_AY,num
enrollments,FTE_AY,num
faculty,Campus,num
faculty,Year,num
faculty,Faculty,num
