table_name,column_name,column_type
book_club,book_club_id,num
book_club,Year,num
book_club,Author_or_Editor,string
book_club,Book_Title,string
book_club,Publisher,string
book_club,Category,string
book_club,Result,string
culture_company,Company_name,string
culture_company,Type,string
culture_company,Incorporated_in,string
culture_company,Group_Equity_Shareholding,num
culture_company,book_club_id,string
culture_company,movie_id,string
movie,movie_id,num
movie,Title,string
movie,Year,num
movie,Director,string
movie,Budget_million,num
movie,Gross_worldwide,num
