table_name,column_name,column_type
Complaints,complaint_id,num
Complaints,product_id,num
Complaints,customer_id,num
Complaints,complaint_outcome_code,string
Complaints,complaint_status_code,string
Complaints,complaint_type_code,string
Complaints,date_complaint_raised,date
Complaints,date_complaint_closed,date
Complaints,staff_id,num
Customers,customer_id,num
Customers,customer_type_code,string
Customers,address_line_1,string
Customers,address_line_2,string
Customers,town_city,string
Customers,state,string
Customers,email_address,string
Customers,phone_number,string
Products,product_id,num
Products,parent_product_id,num
Products,product_category_code,string
Products,date_product_first_available,date
Products,date_product_discontinued,date
Products,product_name,string
Products,product_description,string
Products,product_price,others
Staff,staff_id,num
Staff,gender,string
Staff,first_name,string
Staff,last_name,string
Staff,email_address,string
Staff,phone_number,string
