table_name,column_name,column_type
Actual_Order_Products,actual_order_id,num
Actual_Order_Products,product_id,num
Actual_Orders,actual_order_id,num
Actual_Orders,order_status_code,string
Actual_Orders,regular_order_id,num
Actual_Orders,actual_order_date,date
Addresses,address_id,num
Addresses,address_details,string
Addresses,city,string
Addresses,zip_postcode,string
Addresses,state_province_county,string
Addresses,country,string
Customer_Addresses,customer_id,num
Customer_Addresses,address_id,num
Customer_Addresses,date_from,date
Customer_Addresses,address_type,string
Customer_Addresses,date_to,date
Customers,customer_id,num
Customers,payment_method,string
Customers,customer_name,string
Customers,customer_phone,string
Customers,customer_email,string
Customers,date_became_customer,date
Delivery_Route_Locations,location_code,string
Delivery_Route_Locations,route_id,num
Delivery_Route_Locations,location_address_id,num
Delivery_Route_Locations,location_name,string
Delivery_Routes,route_id,num
Delivery_Routes,route_name,string
Delivery_Routes,other_route_details,string
Employees,employee_id,num
Employees,employee_address_id,num
Employees,employee_name,string
Employees,employee_phone,string
Order_Deliveries,location_code,string
Order_Deliveries,actual_order_id,num
Order_Deliveries,delivery_status_code,string
Order_Deliveries,driver_employee_id,num
Order_Deliveries,truck_id,num
Order_Deliveries,delivery_date,date
Products,product_id,num
Products,product_name,string
Products,product_price,others
Products,product_description,string
Regular_Order_Products,regular_order_id,num
Regular_Order_Products,product_id,num
Regular_Orders,regular_order_id,num
Regular_Orders,distributer_id,num
Trucks,truck_id,num
Trucks,truck_licence_number,string
Trucks,truck_details,string
