table_name,column_name,column_type
Addresses,address_id,num
Addresses,address_content,string
Addresses,city,string
Addresses,zip_postcode,string
Addresses,state_province_county,string
Addresses,country,string
Addresses,other_address_details,string
Customer_Addresses,customer_id,num
Customer_Addresses,address_id,num
Customer_Addresses,date_address_from,date
Customer_Addresses,address_type,string
Customer_Addresses,date_address_to,date
Customer_Contact_Channels,customer_id,num
Customer_Contact_Channels,channel_code,string
Customer_Contact_Channels,active_from_date,date
Customer_Contact_Channels,active_to_date,date
Customer_Contact_Channels,contact_number,string
Customer_Orders,order_id,num
Customer_Orders,customer_id,num
Customer_Orders,order_status,string
Customer_Orders,order_date,date
Customer_Orders,order_details,string
Customers,customer_id,num
Customers,payment_method,string
Customers,customer_name,string
Customers,date_became_customer,date
Customers,other_customer_details,string
Order_Items,order_id,num
Order_Items,product_id,num
Order_Items,order_quantity,string
Products,product_id,num
Products,product_details,string
