table_name,column_name,column_type
Accounts,account_id,num
Accounts,customer_id,num
Accounts,date_account_opened,date
Accounts,account_name,string
Accounts,other_account_details,string
Customers,customer_id,num
Customers,customer_first_name,string
Customers,customer_middle_initial,string
Customers,customer_last_name,string
Customers,gender,string
Customers,email_address,string
Customers,login_name,string
Customers,login_password,string
Customers,phone_number,string
Customers,town_city,string
Customers,state_county_province,string
Customers,country,string
Financial_Transactions,transaction_id,num
Financial_Transactions,account_id,num
Financial_Transactions,invoice_number,num
Financial_Transactions,transaction_type,string
Financial_Transactions,transaction_date,date
Financial_Transactions,transaction_amount,others
Financial_Transactions,transaction_comment,string
Financial_Transactions,other_transaction_details,string
Invoice_Line_Items,order_item_id,num
Invoice_Line_Items,invoice_number,num
Invoice_Line_Items,product_id,num
Invoice_Line_Items,product_title,string
Invoice_Line_Items,product_quantity,string
Invoice_Line_Items,product_price,others
Invoice_Line_Items,derived_product_cost,others
Invoice_Line_Items,derived_vat_payable,others
Invoice_Line_Items,derived_total_cost,others
Invoices,invoice_number,num
Invoices,order_id,num
Invoices,invoice_date,date
Order_Items,order_item_id,num
Order_Items,order_id,num
Order_Items,product_id,num
Order_Items,product_quantity,string
Order_Items,other_order_item_details,string
Orders,order_id,num
Orders,customer_id,num
Orders,date_order_placed,date
Orders,order_details,string
Product_Categories,production_type_code,string
Product_Categories,product_type_description,string
Product_Categories,vat_rating,others
Products,product_id,num
Products,parent_product_id,num
Products,production_type_code,string
Products,unit_price,others
Products,product_name,string
Products,product_color,string
Products,product_size,string
