table_name,column_name,column_type
Addresses,address_id,num
Addresses,address_details,string
Customer_Orders,order_id,num
Customer_Orders,customer_id,num
Customer_Orders,order_date,date
Customer_Orders,order_status_code,string
Customers,customer_id,num
Customers,address_id,num
Customers,payment_method_code,string
Customers,customer_number,string
Customers,customer_name,string
Customers,customer_address,string
Customers,customer_phone,string
Customers,customer_email,string
Order_Items,order_item_id,num
Order_Items,order_id,num
Order_Items,product_id,num
Order_Items,order_quantity,string
Products,product_id,num
Products,product_type_code,string
Products,product_name,string
Products,product_price,num
