table_name,column_name,column_type
Addresses,address_id,num
Addresses,line_1_number_building,string
Addresses,city,string
Addresses,zip_postcode,string
Addresses,state_province_county,string
Addresses,country,string
Contacts,contact_id,num
Contacts,customer_id,num
Contacts,gender,string
Contacts,first_name,string
Contacts,last_name,string
Contacts,contact_phone,string
Customer_Address_History,customer_id,num
Customer_Address_History,address_id,num
Customer_Address_History,date_from,date
Customer_Address_History,date_to,date
Customer_Orders,order_id,num
Customer_Orders,customer_id,num
Customer_Orders,order_date,date
Customer_Orders,order_status_code,string
Customers,customer_id,num
Customers,payment_method_code,string
Customers,customer_number,string
Customers,customer_name,string
Customers,customer_address,string
Customers,customer_phone,string
Customers,customer_email,string
Order_Items,order_item_id,num
Order_Items,order_id,num
Order_Items,product_id,num
Order_Items,order_quantity,string
Products,product_id,num
Products,product_type_code,string
Products,product_name,string
Products,product_price,num
