table_name,column_name,column_type
Customer_Addresses,customer_id,num
Customer_Addresses,premise_id,num
Customer_Addresses,date_address_from,date
Customer_Addresses,address_type_code,string
Customer_Addresses,date_address_to,date
Customer_Orders,order_id,num
Customer_Orders,customer_id,num
Customer_Orders,order_status_code,string
Customer_Orders,shipping_method_code,string
Customer_Orders,order_placed_datetime,date
Customer_Orders,order_delivered_datetime,date
Customer_Orders,order_shipping_charges,string
Customers,customer_id,num
Customers,payment_method,string
Customers,customer_name,string
Customers,customer_phone,string
Customers,customer_email,string
Customers,customer_address,string
Customers,customer_login,string
Customers,customer_password,string
Mailshot_Campaigns,mailshot_id,num
Mailshot_Campaigns,product_category,string
Mailshot_Campaigns,mailshot_name,string
Mailshot_Campaigns,mailshot_start_date,date
Mailshot_Campaigns,mailshot_end_date,date
Mailshot_Customers,mailshot_id,num
Mailshot_Customers,customer_id,num
Mailshot_Customers,outcome_code,string
Mailshot_Customers,mailshot_customer_date,date
Order_Items,item_id,num
Order_Items,order_item_status_code,string
Order_Items,order_id,num
Order_Items,product_id,num
Order_Items,item_status_code,string
Order_Items,item_delivered_datetime,date
Order_Items,item_order_quantity,string
Premises,premise_id,num
Premises,premises_type,string
Premises,premise_details,string
Products,product_id,num
Products,product_category,string
Products,product_name,string
