table_name,column_name,column_type
roles,id,num
roles,name,string
roles,created_at,date
roles,updated_at,date
permissions,id,num
permissions,name,string
permissions,readable_name,string
permissions,created_at,date
permissions,updated_at,date
role_user,user_id,num
role_user,role_id,num
permission_role,permission_id,num
permission_role,role_id,num
permission_role,value,num
permission_role,expires,date
permission_user,user_id,num
permission_user,permission_id,num
permission_user,value,num
permission_user,expires,date
users,id,num
