table_name,column_name,column_types
channels,channel_id,num
channels,channel_name,string
channels,channel_type,string
drivers,driver_id,num
drivers,driver_modal,string
drivers,driver_type,string
deliveries,delivery_id,num
deliveries,delivery_order_id,num
deliveries,driver_id,num
deliveries,delivery_distance_meters,num
deliveries,delivery_status,string
hubs,hub_id,num
hubs,hub_name,string
hubs,hub_city,string
hubs,hub_state,string
hubs,hub_latitude,num
hubs,hub_longitude,num
payments,payment_id,num
payments,payment_order_id,num
payments,payment_amount,num
payments,payment_fee,num
payments,payment_method,string
payments,payment_status,string
stores,store_id,num
stores,hub_id,num
stores,store_name,string
stores,store_segment,string
stores,store_plan_price,num
stores,store_latitude,num
stores,store_longitude,num
orders,order_id,num
orders,store_id,num
orders,channel_id,num
orders,payment_order_id,num
orders,delivery_order_id,num
orders,order_status,string
orders,order_amount,num
orders,order_delivery_fee,num
orders,order_delivery_cost,num
orders,order_created_hour,num
orders,order_created_minute,num
orders,order_created_day,num
orders,order_created_month,num
orders,order_created_year,num
orders,order_moment_created,date
orders,order_moment_accepted,date
orders,order_moment_ready,date
orders,order_moment_collected,date
orders,order_moment_in_expedition,date
orders,order_moment_delivering,date
orders,order_moment_delivered,date
orders,order_moment_finished,date
orders,order_metric_collected_time,num
orders,order_metric_paused_time,num
orders,order_metric_production_time,num
orders,order_metric_walking_time,num
orders,order_metric_expediton_speed_time,num
orders,order_metric_transit_time,num
orders,order_metric_cycle_time,num
