table_name,column_name,column_type
Addresses,address_id,num
Addresses,address_details,string
Customer_Addresses,customer_id,num
Customer_Addresses,address_id,num
Customer_Addresses,date_from,date
Customer_Addresses,date_to,date
Customer_Orders,order_id,num
Customer_Orders,customer_id,num
Customer_Orders,order_status_code,string
Customer_Orders,order_date,date
Customers,customer_id,num
Customers,payment_method_code,string
Customers,customer_code,string
Customers,customer_name,string
Customers,customer_address,string
Customers,customer_phone,string
Customers,customer_email,string
Department_Store_Chain,dept_store_chain_id,num
Department_Store_Chain,dept_store_chain_name,string
Department_Stores,dept_store_id,num
Department_Stores,dept_store_chain_id,num
Department_Stores,store_name,string
Department_Stores,store_address,string
Department_Stores,store_phone,string
Department_Stores,store_email,string
Departments,department_id,num
Departments,dept_store_id,num
Departments,department_name,string
Order_Items,order_item_id,num
Order_Items,order_id,num
Order_Items,product_id,num
Product_Suppliers,product_id,num
Product_Suppliers,supplier_id,num
Product_Suppliers,date_supplied_from,date
Product_Suppliers,date_supplied_to,date
Product_Suppliers,total_amount_purchased,string
Product_Suppliers,total_value_purchased,others
Products,product_id,num
Products,product_type_code,string
Products,product_name,string
Products,product_price,others
Staff,staff_id,num
Staff,staff_gender,string
Staff,staff_name,string
Staff_Department_Assignments,staff_id,num
Staff_Department_Assignments,department_id,num
Staff_Department_Assignments,date_assigned_from,date
Staff_Department_Assignments,job_title_code,string
Staff_Department_Assignments,date_assigned_to,date
Supplier_Addresses,supplier_id,num
Supplier_Addresses,address_id,num
Supplier_Addresses,date_from,date
Supplier_Addresses,date_to,date
Suppliers,supplier_id,num
Suppliers,supplier_name,string
Suppliers,supplier_phone,string
