table_name,column_name,column_type
cache,value,string
cache,expiration,num
channels,id,num
channels,name,string
channels,type,string
channels,config,string
channels,on_deployment_success,num
channels,on_deployment_failure,num
channels,on_link_down,num
channels,on_link_still_down,num
channels,on_link_recovered,num
channels,on_heartbeat_missing,num
channels,on_heartbeat_still_missing,num
channels,on_heartbeat_recovered,num
channels,project_id,num
channels,created_at,date
channels,updated_at,date
channels,deleted_at,date
check_urls,id,num
check_urls,name,string
check_urls,url,string
check_urls,project_id,num
check_urls,period,num
check_urls,match,string
check_urls,created_at,date
check_urls,updated_at,date
check_urls,deleted_at,date
check_urls,missed,num
check_urls,last_seen,date
check_urls,status,num
check_urls,last_log,string
command_server,id,num
command_server,command_id,num
command_server,server_id,num
commands,id,num
commands,name,string
commands,user,string
commands,script,string
commands,order,num
commands,created_at,date
commands,updated_at,date
commands,deleted_at,date
commands,optional,num
commands,default_on,num
commands,target_id,num
commands,target_type,string
commands,step,num
config_files,id,num
config_files,name,string
config_files,path,string
config_files,content,string
config_files,created_at,date
config_files,updated_at,date
config_files,deleted_at,date
config_files,target_id,num
config_files,target_type,string
deploy_steps,id,num
deploy_steps,deployment_id,num
deploy_steps,stage,num
deploy_steps,command_id,num
deploy_steps,created_at,date
deploy_steps,updated_at,date
deployments,id,num
deployments,committer,string
deployments,committer_email,string
deployments,commit,string
deployments,project_id,num
deployments,user_id,num
deployments,created_at,date
deployments,updated_at,date
deployments,deleted_at,date
deployments,started_at,date
deployments,finished_at,date
deployments,reason,string
deployments,branch,string
deployments,is_webhook,num
deployments,source,string
deployments,build_url,string
deployments,status,num
failed_jobs,id,num
failed_jobs,connection,string
failed_jobs,queue,string
failed_jobs,payload,string
failed_jobs,exception,string
failed_jobs,failed_at,date
groups,id,num
groups,name,string
groups,created_at,date
groups,updated_at,date
groups,deleted_at,date
groups,order,num
heartbeats,id,num
heartbeats,name,string
heartbeats,hash,string
heartbeats,interval,num
heartbeats,project_id,num
heartbeats,missed,num
heartbeats,last_activity,date
heartbeats,created_at,date
heartbeats,updated_at,date
heartbeats,deleted_at,date
heartbeats,status,num
jobs,id,num
jobs,queue,string
jobs,payload,string
jobs,attempts,num
jobs,reserved_at,num
jobs,available_at,num
jobs,created_at,num
migrations,id,num
migrations,migration,string
migrations,batch,num
notifications,id,string
notifications,type,string
notifications,notifiable_id,num
notifications,notifiable_type,string
notifications,data,string
notifications,read_at,date
notifications,created_at,date
notifications,updated_at,date
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
project_user,id,num
project_user,project_id,num
project_user,user_id,num
project_user,role,string
projects,id,num
projects,name,string
projects,repository,string
projects,hash,string
projects,branch,string
projects,private_key,string
projects,public_key,string
projects,group_id,num
projects,builds_to_keep,num
projects,url,string
projects,build_url,string
projects,last_run,date
projects,created_at,date
projects,updated_at,date
projects,deleted_at,date
projects,last_mirrored,date
projects,allow_other_branch,num
projects,include_dev,num
projects,status,num
projects,is_mirroring,num
refs,id,num
refs,name,string
refs,is_tag,num
refs,project_id,num
refs,created_at,date
refs,updated_at,date
server_logs,id,num
server_logs,server_id,num
server_logs,deploy_step_id,num
server_logs,output,string
server_logs,started_at,date
server_logs,finished_at,date
server_logs,created_at,date
server_logs,updated_at,date
server_logs,status,num
servers,id,num
servers,name,string
servers,ip_address,string
servers,user,string
servers,path,string
servers,project_id,num
servers,created_at,date
servers,updated_at,date
servers,deleted_at,date
servers,deploy_code,num
servers,port,num
servers,order,num
servers,status,num
servers,connect_log,string
shared_files,id,num
shared_files,name,string
shared_files,file,string
shared_files,created_at,date
shared_files,updated_at,date
shared_files,deleted_at,date
shared_files,target_id,num
shared_files,target_type,string
templates,id,num
templates,name,string
templates,created_at,date
templates,updated_at,date
users,id,num
users,name,string
users,email,string
users,password,string
users,is_admin,num
users,remember_token,string
users,created_at,date
users,updated_at,date
users,deleted_at,date
users,email_token,string
users,avatar,string
users,language,string
users,skin,string
users,google2fa_secret,string
users,scheme,string
variables,id,num
variables,name,string
variables,value,string
variables,created_at,date
variables,updated_at,date
variables,deleted_at,date
variables,target_id,num
variables,target_type,string
