table_name,column_name,column_type
account_deletions,id,num
account_deletions,person_id,num
account_deletions,completed_at,date
account_migrations,id,num
account_migrations,old_person_id,num
account_migrations,new_person_id,num
account_migrations,completed_at,date
aspect_memberships,id,num
aspect_memberships,aspect_id,num
aspect_memberships,contact_id,num
aspect_memberships,created_at,date
aspect_memberships,updated_at,date
aspect_visibilities,id,num
aspect_visibilities,shareable_id,num
aspect_visibilities,aspect_id,num
aspect_visibilities,shareable_type,string
aspects,id,num
aspects,name,string
aspects,user_id,num
aspects,created_at,date
aspects,updated_at,date
aspects,order_id,num
aspects,post_default,num
authorizations,id,num
authorizations,user_id,num
authorizations,o_auth_application_id,num
authorizations,refresh_token,string
authorizations,code,string
authorizations,redirect_uri,string
authorizations,nonce,string
authorizations,scopes,string
authorizations,code_used,num
authorizations,created_at,date
authorizations,updated_at,date
blocks,id,num
blocks,user_id,num
blocks,person_id,num
comment_signatures,comment_id,num
comment_signatures,author_signature,string
comment_signatures,signature_order_id,num
comment_signatures,additional_data,string
comments,id,num
comments,text,string
comments,commentable_id,num
comments,author_id,num
comments,guid,string
comments,created_at,date
comments,updated_at,date
comments,likes_count,num
comments,commentable_type,string
contacts,id,num
contacts,user_id,num
contacts,person_id,num
contacts,created_at,date
contacts,updated_at,date
contacts,sharing,num
contacts,receiving,num
conversation_visibilities,id,num
conversation_visibilities,conversation_id,num
conversation_visibilities,person_id,num
conversation_visibilities,unread,num
conversation_visibilities,created_at,date
conversation_visibilities,updated_at,date
conversations,id,num
conversations,subject,string
conversations,guid,string
conversations,author_id,num
conversations,created_at,date
conversations,updated_at,date
invitation_codes,id,num
invitation_codes,token,string
invitation_codes,user_id,num
invitation_codes,count,num
invitation_codes,created_at,date
invitation_codes,updated_at,date
like_signatures,like_id,num
like_signatures,author_signature,string
like_signatures,signature_order_id,num
like_signatures,additional_data,string
likes,id,num
likes,positive,num
likes,target_id,num
likes,author_id,num
likes,guid,string
likes,created_at,date
likes,updated_at,date
likes,target_type,string
locations,id,num
locations,address,string
locations,lat,string
locations,lng,string
locations,status_message_id,num
locations,created_at,date
locations,updated_at,date
mentions,id,num
mentions,mentions_container_id,num
mentions,person_id,num
mentions,mentions_container_type,string
messages,id,num
messages,conversation_id,num
messages,author_id,num
messages,guid,string
messages,text,string
messages,created_at,date
messages,updated_at,date
notification_actors,id,num
notification_actors,notification_id,num
notification_actors,person_id,num
notification_actors,created_at,date
notification_actors,updated_at,date
notifications,id,num
notifications,target_type,string
notifications,target_id,num
notifications,recipient_id,num
notifications,unread,num
notifications,created_at,date
notifications,updated_at,date
notifications,type,string
notifications,guid,string
o_auth_access_tokens,id,num
o_auth_access_tokens,authorization_id,num
o_auth_access_tokens,token,string
o_auth_access_tokens,expires_at,date
o_auth_access_tokens,created_at,date
o_auth_access_tokens,updated_at,date
o_auth_applications,id,num
o_auth_applications,user_id,num
o_auth_applications,client_id,string
o_auth_applications,client_secret,string
o_auth_applications,client_name,string
o_auth_applications,redirect_uris,string
o_auth_applications,response_types,string
o_auth_applications,grant_types,string
o_auth_applications,application_type,string
o_auth_applications,contacts,string
o_auth_applications,logo_uri,string
o_auth_applications,client_uri,string
o_auth_applications,policy_uri,string
o_auth_applications,tos_uri,string
o_auth_applications,sector_identifier_uri,string
o_auth_applications,token_endpoint_auth_method,string
o_auth_applications,jwks,string
o_auth_applications,jwks_uri,string
o_auth_applications,ppid,num
o_auth_applications,created_at,date
o_auth_applications,updated_at,date
o_embed_caches,id,num
o_embed_caches,url,string
o_embed_caches,data,string
open_graph_caches,id,num
open_graph_caches,title,string
open_graph_caches,ob_type,string
open_graph_caches,image,string
open_graph_caches,url,string
open_graph_caches,description,string
open_graph_caches,video_url,string
participations,id,num
participations,guid,string
participations,target_id,num
participations,target_type,string
participations,author_id,num
participations,created_at,date
participations,updated_at,date
participations,count,num
people,id,num
people,guid,string
people,diaspora_handle,string
people,serialized_public_key,string
people,owner_id,num
people,created_at,date
people,updated_at,date
people,closed_account,num
people,fetch_status,num
people,pod_id,num
photos,id,num
photos,author_id,num
photos,public,num
photos,guid,string
photos,pending,num
photos,text,string
photos,remote_photo_path,string
photos,remote_photo_name,string
photos,random_string,string
photos,processed_image,string
photos,created_at,date
photos,updated_at,date
photos,unprocessed_image,string
photos,status_message_guid,string
photos,height,num
photos,width,num
pods,id,num
pods,host,string
pods,ssl,num
