table_name,column_name,column_type
auth_group,id,num
auth_group,name,string
auth_group_permissions,id,num
auth_group_permissions,group_id,num
auth_group_permissions,permission_id,num
auth_permission,id,num
auth_permission,name,string
auth_permission,content_type_id,num
auth_permission,codename,string
auth_user,id,num
auth_user,password,string
auth_user,last_login,date
auth_user,is_superuser,num
auth_user,username,string
auth_user,first_name,string
auth_user,last_name,string
auth_user,email,string
auth_user,is_staff,num
auth_user,is_active,num
auth_user,date_joined,date
auth_user_groups,id,num
auth_user_groups,user_id,num
auth_user_groups,group_id,num
auth_user_user_permissions,id,num
auth_user_user_permissions,user_id,num
auth_user_user_permissions,permission_id,num
django_admin_log,id,num
django_admin_log,action_time,date
django_admin_log,object_id,string
django_admin_log,object_repr,string
django_admin_log,action_flag,num
django_admin_log,change_message,string
django_admin_log,user_id,num
django_admin_log,content_type_id,num
django_content_type,id,num
django_content_type,app_label,string
django_content_type,model,string
django_migrations,id,num
django_migrations,app,string
django_migrations,name,string
django_migrations,applied,date
django_session,session_key,string
django_session,session_data,string
django_session,expire_date,date
