table_name,column_name,column_type
auth_user,id,num
organizations_organization,id,num
organizations_organization,name,string
organizations_organization,is_active,num
organizations_organization,created,date
organizations_organization,modified,date
organizations_organization,slug,string
organizations_organizationowner,id,num
organizations_organizationowner,created,date
organizations_organizationowner,modified,date
organizations_organizationowner,organization_id,num
organizations_organizationowner,organization_user_id,num
organizations_organizationuser,id,num
organizations_organizationuser,created,date
organizations_organizationuser,modified,date
organizations_organizationuser,is_admin,num
organizations_organizationuser,organization_id,num
organizations_organizationuser,user_id,num
