table_name,column_name,column_type
djpaypal_billingagreement,id,string
djpaypal_billingagreement,name,string
djpaypal_billingagreement,state,string
djpaypal_billingagreement,description,string
djpaypal_billingagreement,agreement_details,string
djpaypal_billingagreement,payer,string
djpaypal_billingagreement,shipping_address,string
djpaypal_billingagreement,override_merchant_preferences,string
djpaypal_billingagreement,override_charge_mode,string
djpaypal_billingagreement,plan,string
djpaypal_billingagreement,merchant,string
djpaypal_billingagreement,payer_model_id,string
djpaypal_billingagreement,user_id,num
djpaypal_billingagreement,plan_model_id,string
djpaypal_billingagreement,livemode,boolean
djpaypal_billingagreement,djpaypal_created,date
djpaypal_billingplan,id,string
djpaypal_billingplan,livemode,boolean
djpaypal_billingplan,djpaypal_created,date
djpaypal_billingplan,djpaypal_updated,date
djpaypal_billingplan,name,string
djpaypal_billingplan,description,string
djpaypal_billingplan,type,string
djpaypal_billingplan,state,string
djpaypal_billingplan,create_time,date
djpaypal_billingplan,update_time,date
djpaypal_billingplan,merchant_preferences,string
djpaypal_billingplan_payment_definitions,id,num
djpaypal_billingplan_payment_definitions,billingplan_id,string
djpaypal_billingplan_payment_definitions,paymentdefinition_id,string
djpaypal_chargemodel,id,string
djpaypal_chargemodel,livemode,boolean
djpaypal_chargemodel,djpaypal_created,date
djpaypal_chargemodel,djpaypal_updated,date
djpaypal_chargemodel,type,string
djpaypal_chargemodel,amount,string
djpaypal_dispute,dispute_id,string
djpaypal_dispute,livemode,boolean
djpaypal_dispute,djpaypal_created,date
djpaypal_dispute,djpaypal_updated,date
djpaypal_dispute,create_time,date
djpaypal_dispute,update_time,date
djpaypal_dispute,disputed_transactions,string
djpaypal_dispute,reason,string
djpaypal_dispute,status,string
djpaypal_dispute,dispute_amount,string
djpaypal_dispute,dispute_outcome,string
djpaypal_dispute,messages,string
djpaypal_dispute,seller_response_due_date,date
djpaypal_dispute,dispute_flow,string
djpaypal_dispute,dispute_channel,string
djpaypal_dispute,dispute_life_cycle_stage,string
djpaypal_dispute,offer,string
djpaypal_dispute,buyer_response_due_date,date
djpaypal_dispute,refund_details,string
djpaypal_payer,id,string
djpaypal_payer,first_name,string
djpaypal_payer,last_name,string
djpaypal_payer,email,string
djpaypal_payer,shipping_address,string
djpaypal_payer,livemode,boolean
djpaypal_payer,djpaypal_created,date
djpaypal_payer,djpaypal_updated,date
djpaypal_payer,user_id,num
djpaypal_payer,time_created,date
djpaypal_payment,id,string
djpaypal_payment,livemode,boolean
djpaypal_payment,djpaypal_created,date
djpaypal_payment,djpaypal_updated,date
djpaypal_payment,intent,string
djpaypal_payment,cart,string
djpaypal_payment,payer,string
djpaypal_payment,transactions,string
djpaypal_payment,state,string
djpaypal_payment,experience_profile_id,string
djpaypal_payment,note_to_payer,string
djpaypal_payment,create_time,date
djpaypal_payment,update_time,date
djpaypal_payment,redirect_urls,string
djpaypal_payment,failure_reason,string
djpaypal_paymentdefinition,id,string
djpaypal_paymentdefinition,livemode,boolean
djpaypal_paymentdefinition,djpaypal_created,date
djpaypal_paymentdefinition,djpaypal_updated,date
djpaypal_paymentdefinition,name,string
djpaypal_paymentdefinition,type,string
djpaypal_paymentdefinition,frequency_interval,num
djpaypal_paymentdefinition,frequency,string
djpaypal_paymentdefinition,cycles,num
djpaypal_paymentdefinition,amount,string
djpaypal_paymentdefinition_charge_models,id,num
djpaypal_paymentdefinition_charge_models,paymentdefinition_id,string
djpaypal_paymentdefinition_charge_models,chargemodel_id,string
djpaypal_preparedbillingagreement,id,string
djpaypal_preparedbillingagreement,livemode,boolean
djpaypal_preparedbillingagreement,data,string
djpaypal_preparedbillingagreement,executed_at,date
djpaypal_preparedbillingagreement,canceled_at,date
