table_name,column_name,column_type
Document_Functional_Areas,document_code,string
Document_Functional_Areas,functional_area_code,string
Document_Sections,section_id,num
Document_Sections,document_code,string
Document_Sections,section_sequence,num
Document_Sections,section_code,string
Document_Sections,section_title,string
Document_Sections_Images,section_id,num
Document_Sections_Images,image_id,num
Document_Structures,document_structure_code,string
Document_Structures,parent_document_structure_code,string
Document_Structures,document_structure_description,string
Documents,document_code,string
Documents,document_structure_code,string
Documents,document_type_code,string
Documents,access_count,num
Documents,document_name,string
Functional_Areas,functional_area_code,string
Functional_Areas,parent_functional_area_code,string
Functional_Areas,functional_area_description,string
Images,image_id,num
Images,image_alt_text,string
Images,image_name,string
Images,image_url,string
Roles,role_code,string
Roles,role_description,string
Users,user_id,num
Users,role_code,string
Users,user_name,string
Users,user_login,string
Users,password,string
