table_name,column_name,column_type
Breeds,breed_code,string
Breeds,breed_name,string
Charges,charge_id,num
Charges,charge_type,string
Charges,charge_amount,others
Dogs,dog_id,num
Dogs,owner_id,num
Dogs,abandoned_yn,string
Dogs,breed_code,string
Dogs,size_code,string
Dogs,name,string
Dogs,age,string
Dogs,date_of_birth,date
Dogs,gender,string
Dogs,weight,string
Dogs,date_arrived,date
Dogs,date_adopted,date
Dogs,date_departed,date
Owners,owner_id,num
Owners,first_name,string
Owners,last_name,string
Owners,street,string
Owners,city,string
Owners,state,string
Owners,zip_code,string
Owners,email_address,string
Owners,home_phone,string
Owners,cell_number,string
Professionals,professional_id,num
Professionals,role_code,string
Professionals,first_name,string
Professionals,street,string
Professionals,city,string
Professionals,state,string
Professionals,zip_code,string
Professionals,last_name,string
Professionals,email_address,string
Professionals,home_phone,string
Professionals,cell_number,string
Sizes,size_code,string
Sizes,size_description,string
Treatment_Types,treatment_type_code,string
Treatment_Types,treatment_type_description,string
Treatments,treatment_id,num
Treatments,dog_id,num
Treatments,professional_id,num
Treatments,treatment_type_code,string
Treatments,date_of_treatment,date
Treatments,cost_of_treatment,others
