table_name,column_name,column_type
donations,dollar_amount,string
donations,donation_included_optional_support,string
donations,donation_message,string
donations,donation_optional_support,num
donations,donation_timestamp,date
donations,donation_to_project,num
donations,donation_total,num
donations,donationid,string
donations,donor_acctid,string
donations,donor_city,string
donations,donor_state,string
donations,donor_zip,string
donations,for_honoree,string
donations,is_teacher_acct,string
donations,payment_included_acct_credit,string
donations,payment_included_campaign_gift_card,string
donations,payment_included_web_purchased_gift_card,string
donations,payment_method,string
donations,payment_was_promo_matched,string
donations,projectid,num
donations,via_giving_page,string
essays,essay,string
essays,need_statement,string
essays,projectid,num
essays,short_description,string
essays,teacher_acctid,string
essays,title,string
projects,date_posted,date
projects,eligible_almost_home_match,string
projects,eligible_double_your_impact_match,num
projects,fulfillment_labor_materials,num
projects,grade_level,string
projects,poverty_level,string
projects,primary_focus_area,string
projects,primary_focus_subject,string
projects,projectid,string
projects,resource_type,string
projects,school_charter,boolean
projects,school_charter_ready_promise,string
projects,school_city,string
projects,school_county,string
projects,school_district,string
projects,school_kipp,string
projects,school_latitude,num
projects,school_longitude,num
projects,school_magnet,string
projects,school_metro,string
projects,school_ncesid,string
projects,school_nlns,string
projects,school_state,string
projects,school_year_round,string
projects,school_zip,num
projects,schoolid,num
projects,secondary_focus_area,string
projects,secondary_focus_subject,string
projects,students_reached,num
projects,teacher_acctid,num
projects,teacher_ny_teaching_fellow,string
projects,teacher_prefix,string
projects,teacher_teach_for_america,string
projects,total_price_excluding_optional_support,num
projects,total_price_including_optional_support,num
resources,item_name,string
resources,item_number,num
resources,item_quantity,num
resources,item_unit_price,num
resources,project_resource_type,string
resources,projectid,num
resources,resourceid,num
resources,vendor_name,string
resources,vendorid,num
