table_name,column_name,column_type
oauth_access_grants,id,num
oauth_access_grants,resource_owner_id,num
oauth_access_grants,application_id,num
oauth_access_grants,token,string
oauth_access_grants,expires_in,num
oauth_access_grants,redirect_uri,string
oauth_access_grants,created_at,date
oauth_access_grants,revoked_at,date
oauth_access_grants,scopes,string
oauth_access_tokens,id,num
oauth_access_tokens,resource_owner_id,num
oauth_access_tokens,application_id,num
oauth_access_tokens,token,string
oauth_access_tokens,refresh_token,string
oauth_access_tokens,expires_in,num
oauth_access_tokens,revoked_at,date
oauth_access_tokens,created_at,date
oauth_access_tokens,scopes,string
oauth_access_tokens,previous_refresh_token,string
oauth_applications,id,num
oauth_applications,name,string
oauth_applications,uid,string
oauth_applications,secret,string
oauth_applications,redirect_uri,string
oauth_applications,scopes,string
oauth_applications,confidential,num
oauth_applications,created_at,date
oauth_applications,updated_at,date
users,id,num
