table_name,column_name,column_type
Addresses,address_id,num
Addresses,line_1_number_building,string
Addresses,city,string
Addresses,zip_postcode,string
Addresses,state_province_county,string
Addresses,country,string
Customer_Payments,customer_id,num
Customer_Payments,datetime_payment,date
Customer_Payments,payment_method_code,string
Customer_Payments,amount_payment,num
Customers,customer_id,num
Customers,customer_address_id,num
Customers,customer_status_code,string
Customers,date_became_customer,date
Customers,date_of_birth,date
Customers,first_name,string
Customers,last_name,string
Customers,amount_outstanding,num
Customers,email_address,string
Customers,phone_number,string
Customers,cell_mobile_phone_number,string
Lessons,lesson_id,num
Lessons,customer_id,num
Lessons,lesson_status_code,string
Lessons,staff_id,num
Lessons,vehicle_id,num
Lessons,lesson_date,date
Lessons,lesson_time,string
Lessons,price,num
Staff,staff_id,num
Staff,staff_address_id,num
Staff,nickname,string
Staff,first_name,string
Staff,middle_name,string
Staff,last_name,string
Staff,date_of_birth,date
Staff,date_joined_staff,date
Staff,date_left_staff,date
Vehicles,vehicle_id,num
Vehicles,vehicle_details,string
