table_name,column_name,column_type
Customer_Payment_Methods,customer_id,num
Customer_Payment_Methods,payment_method_code,string
Customers,customer_id,num
Customers,gender_code,string
Customers,customer_first_name,string
Customers,customer_middle_initial,string
Customers,customer_last_name,string
Customers,email_address,string
Customers,login_name,string
Customers,login_password,string
Customers,phone_number,string
Customers,address_line_1,string
Customers,town_city,string
Customers,county,string
Customers,country,string
Invoices,invoice_number,num
Invoices,invoice_status_code,string
Invoices,invoice_date,date
Order_Items,order_item_id,num
Order_Items,product_id,num
Order_Items,order_id,num
Order_Items,order_item_status_code,string
Orders,order_id,num
Orders,customer_id,num
Orders,order_status_code,string
Orders,date_order_placed,date
Products,product_id,num
Products,parent_product_id,num
Products,product_name,string
Products,product_price,others
Products,product_color,string
Products,product_size,string
Products,product_description,string
Shipment_Items,shipment_id,num
Shipment_Items,order_item_id,num
Shipments,shipment_id,num
Shipments,order_id,num
Shipments,invoice_number,num
Shipments,shipment_tracking_number,string
Shipments,shipment_date,date
