table_name,column_name,column_type
Addresses,address_id,num
Addresses,line_1_number_building,string
Addresses,town_city,string
Addresses,zip_postcode,string
Addresses,state_province_county,string
Addresses,country,string
Forms,form_id,num
Forms,form_type_code,string
Forms,service_id,num
Forms,form_number,string
Forms,form_name,string
Forms,form_description,string
Individuals,individual_id,num
Individuals,individual_first_name,string
Individuals,individual_middle_name,string
Individuals,inidividual_phone,string
Individuals,individual_email,string
Individuals,individual_address,string
Individuals,individual_last_name,string
Organization_Contact_Individuals,individual_id,num
Organization_Contact_Individuals,organization_id,num
Organization_Contact_Individuals,date_contact_from,date
Organization_Contact_Individuals,date_contact_to,date
Organizations,organization_id,num
Organizations,date_formed,date
Organizations,organization_name,string
Organizations,uk_vat_number,string
Parties,party_id,num
Parties,payment_method_code,string
Parties,party_phone,string
Parties,party_email,string
Party_Addresses,party_id,num
Party_Addresses,address_id,num
Party_Addresses,date_address_from,date
Party_Addresses,address_type_code,string
Party_Addresses,date_address_to,date
Party_Forms,party_id,num
Party_Forms,form_id,num
Party_Forms,date_completion_started,date
Party_Forms,form_status_code,string
Party_Forms,date_fully_completed,date
Party_Services,booking_id,num
Party_Services,customer_id,num
Party_Services,service_id,num
Party_Services,service_datetime,date
Party_Services,booking_made_date,date
Services,service_id,num
Services,service_type_code,string
Services,service_name,string
Services,service_descriptio,string
