table_name,column_name,column_type
Course_Authors_and_Tutors,author_id,num
Course_Authors_and_Tutors,author_tutor_ATB,string
Course_Authors_and_Tutors,login_name,string
Course_Authors_and_Tutors,password,string
Course_Authors_and_Tutors,personal_name,string
Course_Authors_and_Tutors,middle_name,string
Course_Authors_and_Tutors,family_name,string
Course_Authors_and_Tutors,gender_mf,string
Course_Authors_and_Tutors,address_line_1,string
Courses,course_id,num
Courses,author_id,num
Courses,subject_id,num
Courses,course_name,string
Courses,course_description,string
Student_Course_Enrolment,registration_id,num
Student_Course_Enrolment,student_id,num
Student_Course_Enrolment,course_id,num
Student_Course_Enrolment,date_of_enrolment,date
Student_Course_Enrolment,date_of_completion,date
Student_Tests_Taken,registration_id,num
Student_Tests_Taken,date_test_taken,date
Student_Tests_Taken,test_result,string
Students,student_id,num
Students,date_of_registration,date
Students,date_of_latest_logon,date
Students,login_name,string
Students,password,string
Students,personal_name,string
Students,middle_name,string
Students,family_name,string
Subjects,subject_id,num
Subjects,subject_name,string
