table_name,column_name,column_types
hardware_dim_customer,customer_code,num
hardware_dim_customer,customer,string
hardware_dim_customer,platform,string
hardware_dim_customer,channel,string
hardware_dim_customer,market,string
hardware_dim_customer,sub_zone,string
hardware_dim_customer,region,string
hardware_fact_pre_invoice_deductions,customer_code,num
hardware_fact_pre_invoice_deductions,fiscal_year,num
hardware_fact_pre_invoice_deductions,pre_invoice_discount_pct,num
web_sales_reps,id,num
web_sales_reps,name,string
web_sales_reps,region_id,num
hardware_dim_product,product_code,string
hardware_dim_product,division,string
hardware_dim_product,segment,string
hardware_dim_product,category,string
hardware_dim_product,product,string
hardware_dim_product,variant,string
web_orders,id,num
web_orders,account_id,num
web_orders,occurred_at,string
web_orders,standard_qty,num
web_orders,gloss_qty,num
web_orders,poster_qty,num
web_orders,total,num
web_orders,standard_amt_usd,num
web_orders,gloss_amt_usd,num
web_orders,poster_amt_usd,num
web_orders,total_amt_usd,num
StaffHours,StaffMember,string
StaffHours,EventDate,string
StaffHours,EventTime,string
StaffHours,EventType,string
university_enrollment,OfferNo,num
university_enrollment,StdNo,num
university_enrollment,EnrGrade,num
university_faculty,FacNo,num
university_faculty,FacFirstName,string
university_faculty,FacLastName,string
university_faculty,FacCity,string
university_faculty,FacState,string
university_faculty,FacDept,string
university_faculty,FacRank,string
university_faculty,FacSalary,num
university_faculty,FacSupervisor,num
university_faculty,FacHireDate,string
university_faculty,FacZipCode,string
university_student,StdNo,num
university_student,StdFirstName,string
university_student,StdLastName,string
university_student,StdCity,string
university_student,StdState,string
university_student,StdZip,string
university_student,StdMajor,string
university_student,StdClass,string
university_student,StdGPA,num
university_offering,OfferNo,num
university_offering,CourseNo,string
university_offering,OffTerm,string
university_offering,OffYear,num
university_offering,OffLocation,string
university_offering,OffTime,string
university_offering,FacNo,num
university_offering,OffDays,string
web_accounts,id,num
web_accounts,name,string
web_accounts,website,string
web_accounts,lat,num
web_accounts,long,num
web_accounts,primary_poc,string
web_accounts,sales_rep_id,num
web_events,id,num
web_events,account_id,num
web_events,occurred_at,string
web_events,channel,string
SalaryDataset,index,num
SalaryDataset,CompanyName,string
SalaryDataset,JobTitle,string
SalaryDataset,SalariesReported,num
SalaryDataset,Location,string
SalaryDataset,Salary,string
web_region,id,num
web_region,name,string
hardware_fact_gross_price,product_code,string
hardware_fact_gross_price,fiscal_year,num
hardware_fact_gross_price,gross_price,num
hardware_fact_manufacturing_cost,product_code,string
hardware_fact_manufacturing_cost,cost_year,num
hardware_fact_manufacturing_cost,manufacturing_cost,num
university_course,CourseNo,string
university_course,CrsDesc,string
university_course,CrsUnits,num
hardware_fact_sales_monthly,date,string
hardware_fact_sales_monthly,product_code,string
hardware_fact_sales_monthly,customer_code,num
hardware_fact_sales_monthly,sold_quantity,num
hardware_fact_sales_monthly,fiscal_year,num
