table_name,column_name,column_type
county,County_Id,num
county,County_name,string
county,Population,num
county,Zip_code,string
election,Election_ID,num
election,Counties_Represented,string
election,District,num
election,Delegate,string
election,Party,num
election,First_Elected,num
election,Committee,string
party,Party_ID,num
party,Year,num
party,Party,string
party,Governor,string
party,Lieutenant_Governor,string
party,Comptroller,string
party,Attorney_General,string
party,US_Senate,string
