table_name,column_name,column_types
circuits,circuit_id,num
circuits,circuit_ref,string
circuits,name,string
circuits,location,string
circuits,country,string
circuits,lat,num
circuits,lng,num
circuits,alt,num
circuits,url,string
constructor_results,constructor_results_id,num
constructor_results,race_id,num
constructor_results,constructor_id,num
constructor_results,points,num
constructor_results,status,string
constructor_standings,constructor_standings_id,num
constructor_standings,race_id,num
constructor_standings,constructor_id,num
constructor_standings,points,num
constructor_standings,position,num
constructor_standings,position_text,string
constructor_standings,wins,num
constructors,constructor_id,num
constructors,constructor_ref,string
constructors,name,string
constructors,nationality,string
constructors,url,string
driver_standings,driver_standings_id,num
driver_standings,race_id,num
driver_standings,driver_id,num
driver_standings,points,num
driver_standings,position,num
driver_standings,position_text,string
driver_standings,wins,num
drivers,driver_id,num
drivers,driver_ref,string
drivers,number,num
drivers,code,string
drivers,forename,string
drivers,surname,string
drivers,dob,date
drivers,nationality,string
drivers,url,string
lap_times,race_id,num
lap_times,driver_id,num
lap_times,lap,num
lap_times,position,num
lap_times,time,string
lap_times,milliseconds,num
pit_stops,race_id,num
pit_stops,driver_id,num
pit_stops,stop,num
pit_stops,lap,num
pit_stops,time,date
pit_stops,duration,string
pit_stops,milliseconds,num
qualifying,qualify_id,num
qualifying,race_id,num
qualifying,driver_id,num
qualifying,constructor_id,num
qualifying,number,num
qualifying,position,num
qualifying,q1,string
qualifying,q2,string
qualifying,q3,string
races,race_id,num
races,year,num
races,round,num
races,circuit_id,num
races,name,string
races,date,date
races,time,date
races,url,string
races,fp1_date,string
races,fp1_time,string
races,fp2_date,string
races,fp2_time,string
races,fp3_date,string
races,fp3_time,string
races,quali_date,string
races,quali_time,string
races,sprint_date,string
races,sprint_time,string
results,result_id,num
results,race_id,num
results,driver_id,num
results,constructor_id,num
results,number,num
results,grid,num
results,position,num
results,position_text,string
results,position_order,num
results,points,num
results,laps,num
results,time,string
results,milliseconds,num
results,fastest_lap,num
results,rank,num
results,fastest_lap_time,string
results,fastest_lap_speed,string
results,status_id,num
seasons,year,num
seasons,url,string
status,status_id,num
status,status,string
sprint_results,result_id,num
sprint_results,race_id,num
sprint_results,driver_id,num
sprint_results,constructor_id,num
sprint_results,number,num
sprint_results,grid,num
sprint_results,position,num
sprint_results,position_text,string
sprint_results,position_order,num
sprint_results,points,num
sprint_results,laps,num
sprint_results,time,string
sprint_results,milliseconds,num
sprint_results,fastest_lap,num
sprint_results,fastest_lap_time,string
sprint_results,fastest_lap_speed,string
sprint_results,status_id,num
short_grand_prix_names,full_name,string
short_grand_prix_names,short_name,string
short_constructor_names,constructor_ref,string
short_constructor_names,short_name,string
liveries,constructor_ref,string
liveries,start_year,num
liveries,end_year,num
liveries,primary_hex_code,string
tdr_overrides,year,num
tdr_overrides,constructor_ref,string
tdr_overrides,driver_ref,string
tdr_overrides,team_driver_rank,num
circuits_ext,circuit_id,num
circuits_ext,circuit_ref,string
circuits_ext,name,string
circuits_ext,location,string
circuits_ext,country,string
circuits_ext,lat,num
circuits_ext,lng,num
circuits_ext,alt,num
circuits_ext,url,string
constructors_ext,constructor_id,num
constructors_ext,constructor_ref,string
constructors_ext,name,string
constructors_ext,nationality,string
constructors_ext,url,string
drivers_ext,driver_id,num
drivers_ext,driver_ref,string
drivers_ext,number,num
drivers_ext,forename,string
drivers_ext,surname,string
drivers_ext,full_name,string
drivers_ext,dob,num
drivers_ext,nationality,string
drivers_ext,url,string
driver_standings_ext,driver_standings_id,num
driver_standings_ext,race_id,num
driver_standings_ext,driver_id,num
driver_standings_ext,points,num
driver_standings_ext,position,num
driver_standings_ext,position_text,string
driver_standings_ext,wins,num
lap_times_ext,race_id,num
lap_times_ext,driver_id,num
lap_times_ext,lap,num
lap_times_ext,position,num
lap_times_ext,time,string
lap_times_ext,milliseconds,num
lap_times_ext,seconds,num
lap_time_stats,race_id,num
lap_time_stats,driver_id,num
races_ext,race_id,num
races_ext,year,num
races_ext,round,num
races_ext,circuit_id,num
races_ext,name,string
races_ext,date,num
races_ext,time,num
races_ext,url,string
races_ext,fp1_date,string
races_ext,fp1_time,string
races_ext,fp2_date,string
races_ext,fp2_time,string
races_ext,fp3_date,string
races_ext,fp3_time,string
races_ext,quali_date,string
races_ext,quali_time,string
races_ext,sprint_date,string
races_ext,sprint_time,string
team_driver_ranks,year,num
team_driver_ranks,constructor_id,num
team_driver_ranks,constructor_ref,string
team_driver_ranks,driver_id,num
team_driver_ranks,driver_ref,string
drives,year,num
drives,driver_id,num
drives,constructor_id,num
drives,first_round,num
drives,last_round,num
retirements,race_id,num
retirements,driver_id,num
retirements,position_order,num
retirements,status_id,num
lap_positions,race_id,num
lap_positions,driver_id,num
lap_positions,lap,num
lap_positions,position,num
