table_name,column_name,column_type
city,City_ID,num
city,Official_Name,string
city,Status,string
city,Area_km_2,num
city,Population,num
city,Census_Ranking,string
competition_record,Competition_ID,num
competition_record,Farm_ID,num
competition_record,Rank,num
farm,Farm_ID,num
farm,Year,num
farm,Total_Horses,num
farm,Working_Horses,num
farm,Total_Cattle,num
farm,Oxen,num
farm,Bulls,num
farm,Cows,num
farm,Pigs,num
farm,Sheep_and_Goats,num
farm_competition,Competition_ID,num
farm_competition,Year,num
farm_competition,Theme,string
farm_competition,Host_city_ID,num
farm_competition,Hosts,string
