table_name,column_name,column_type
features,id,num
features,name,string
features,description,string
features,active,boolean
features,created_at,date
features,updated_at,date
features,expires_at,date
feature_groups,id,num
feature_groups,name,string
feature_groups,description,string
feature_groups,active,boolean
feature_groups,created_at,date
feature_groups,updated_at,date
feature_feature_groups,feature_id,num
feature_feature_groups,feature_group_id,num
feature_user,feature_id,num
feature_user,user_id,num
users,id,num
feature_group_user,feature_group_id,num
feature_group_user,user_id,num
