table_name,column_name,column_type
actions,id,num
actions,user_id,num
actions,query,string
actions,actions,string
actions,feed_ids,string
actions,all_feeds,boolean
actions,created_at,date
authentication_tokens,id,num
authentication_tokens,user_id,num
authentication_tokens,token,string
authentication_tokens,purpose,num
authentication_tokens,data,string
authentication_tokens,created_at,date
billing_events,id,num
billing_events,details,string
billing_events,event_type,string
billing_events,billable_id,num
billing_events,billable_type,string
billing_events,created_at,date
coupons,id,num
coupons,user_id,num
coupons,coupon_code,string
coupons,sent_to,string
coupons,redeemed,boolean
coupons,created_at,date
deleted_users,id,num
deleted_users,email,string
deleted_users,customer_id,string
deleted_users,created_at,date
devices,id,num
devices,user_id,num
devices,token,string
devices,model,string
devices,device_type,num
devices,created_at,date
entries,id,num
entries,feed_id,num
entries,title,string
entries,url,string
entries,author,string
entries,summary,string
entries,content,string
entries,published,date
favicons,id,num
favicons,host,string
favicons,favicon,string
favicons,created_at,date
feed_stats,id,num
feed_stats,feed_id,num
feed_stats,day,date
feed_stats,entries_count,num
feed_stats,created_at,date
feeds,id,num
feeds,title,string
feeds,feed_url,string
feeds,site_url,string
feeds,etag,string
feeds,created_at,date
import_items,id,num
import_items,import_id,num
import_items,details,string
import_items,created_at,date
imports,id,num
imports,user_id,num
imports,complete,boolean
imports,created_at,date
in_app_purchases,id,num
in_app_purchases,user_id,num
in_app_purchases,transaction_id,string
in_app_purchases,purchase_date,date
newsletter_senders,id,num
newsletter_senders,feed_id,num
newsletter_senders,active,boolean
newsletter_senders,token,string
newsletter_senders,full_token,string
newsletter_senders,email,string
newsletter_senders,name,string
newsletter_senders,created_at,date
plans,id,num
plans,stripe_id,string
plans,name,string
plans,price,num
plans,created_at,date
recently_played_entries,id,num
recently_played_entries,user_id,num
recently_played_entries,entry_id,num
recently_played_entries,progress,num
recently_played_entries,duration,num
recently_played_entries,created_at,date
recently_read_entries,id,num
recently_read_entries,user_id,num
recently_read_entries,entry_id,num
recently_read_entries,created_at,date
saved_searches,id,num
saved_searches,user_id,num
saved_searches,name,string
saved_searches,query,string
saved_searches,created_at,date
sharing_services,id,num
sharing_services,user_id,num
sharing_services,label,string
sharing_services,url,string
sharing_services,created_at,date
starred_entries,id,num
starred_entries,user_id,num
starred_entries,feed_id,num
starred_entries,entry_id,num
starred_entries,published,date
subscriptions,id,num
subscriptions,user_id,num
subscriptions,feed_id,num
subscriptions,created_at,date
suggested_categories,id,num
suggested_categories,name,string
suggested_categories,created_at,date
suggested_feeds,id,num
suggested_feeds,suggested_category_id,num
suggested_feeds,feed_id,num
suggested_feeds,created_at,date
supported_sharing_services,id,num
supported_sharing_services,user_id,num
supported_sharing_services,service_id,string
supported_sharing_services,settings,string
supported_sharing_services,service_options,string
supported_sharing_services,created_at,date
taggings,id,num
taggings,feed_id,num
taggings,user_id,num
taggings,created_at,date
tags,id,num
tags,name,string
tags,created_at,date
unreads,id,num
unreads,user_id,num
unreads,feed_id,num
unreads,entry_id,num
unreads,published,date
updated_entries,id,num
updated_entries,user_id,num
updated_entries,entry_id,num
updated_entries,feed_id,num
updated_entries,published,date
users,id,num
users,email,string
users,password_digest,string
users,customer_id,string
users,last_4_digits,string
users,plan_id,num
users,admin,boolean
users,suspended,boolean
users,created_at,date
