table_name,column_name,column_type
access_tokens,token,string
access_tokens,user_id,num
access_tokens,last_activity_at,date
access_tokens,lifetime_seconds,num
access_tokens,created_at,date
api_keys,id,num
api_keys,allowed_ips,string
api_keys,scopes,string
api_keys,user_id,num
api_keys,created_at,date
api_keys,last_activity_at,date
discussion_tag,tag_id,num
discussion_tag,discussion_id,num
discussion_user,user_id,num
discussion_user,discussion_id,num
discussion_user,last_read_at,date
discussion_user,last_read_post_number,num
discussion_user,subscription,string
discussions,id,num
discussions,title,string
discussions,comment_count,num
discussions,participant_count,num
discussions,post_number_index,num
discussions,created_at,date
discussions,user_id,num
discussions,first_post_id,num
discussions,last_posted_at,date
discussions,last_posted_user_id,num
discussions,last_post_id,num
discussions,last_post_number,num
discussions,hidden_at,date
discussions,hidden_user_id,num
discussions,slug,string
discussions,is_private,num
discussions,is_approved,num
discussions,is_locked,num
discussions,is_sticky,num
email_tokens,token,string
email_tokens,email,string
email_tokens,user_id,num
email_tokens,created_at,date
flags,id,num
flags,post_id,num
flags,type,string
flags,user_id,num
flags,reason,string
flags,reason_detail,string
flags,created_at,date
group_permission,group_id,num
group_permission,permission,string
group_user,user_id,num
group_user,group_id,num
groups,id,num
groups,name_singular,string
groups,name_plural,string
groups,color,string
groups,icon,string
login_providers,id,num
login_providers,user_id,num
login_providers,provider,string
login_providers,identifier,string
login_providers,created_at,date
login_providers,last_login_at,date
migrations,migration,string
migrations,extension,string
notifications,id,num
notifications,user_id,num
notifications,from_user_id,num
notifications,type,string
notifications,subject_id,num
notifications,data,string
notifications,created_at,date
notifications,is_deleted,num
notifications,read_at,date
password_tokens,token,string
password_tokens,user_id,num
password_tokens,created_at,date
post_likes,post_id,num
post_likes,user_id,num
post_mentions_post,post_id,num
post_mentions_post,mentions_post_id,num
post_mentions_user,post_id,num
post_mentions_user,mentions_user_id,num
post_user,post_id,num
post_user,user_id,num
posts,id,num
posts,discussion_id,num
posts,number,num
posts,created_at,date
posts,user_id,num
posts,type,string
posts,content,string
posts,edited_at,date
posts,edited_user_id,num
posts,hidden_at,date
posts,hidden_user_id,num
posts,ip_address,string
posts,is_private,num
posts,is_approved,num
registration_tokens,token,string
registration_tokens,payload,string
registration_tokens,created_at,date
registration_tokens,provider,string
registration_tokens,identifier,string
registration_tokens,user_attributes,string
settings,value,string
tag_user,tag_id,num
tag_user,user_id,num
tag_user,marked_as_read_at,date
tag_user,is_hidden,num
tags,id,num
tags,name,string
tags,slug,string
tags,description,string
tags,color,string
tags,background_path,string
tags,background_mode,string
tags,position,num
tags,parent_id,num
tags,default_sort,string
tags,is_restricted,num
tags,is_hidden,num
tags,discussion_count,num
tags,last_posted_at,date
tags,last_posted_discussion_id,num
tags,last_posted_user_id,num
tags,icon,string
users,id,num
users,username,string
users,email,string
users,is_email_confirmed,num
users,password,string
users,bio,string
users,avatar_url,string
users,preferences,string
users,joined_at,date
users,last_seen_at,date
users,marked_all_as_read_at,date
users,read_notifications_at,date
users,discussion_count,num
users,comment_count,num
users,read_flags_at,date
users,suspended_until,date
