table_name,column_name,column_type
airport,id,num
airport,City,string
airport,Country,string
airport,IATA,string
airport,ICAO,string
airport,name,string
flight,id,num
flight,Vehicle_Flight_number,string
flight,Date,string
flight,Pilot,string
flight,Velocity,num
flight,Altitude,num
flight,airport_id,num
flight,company_id,num
operate_company,id,num
operate_company,name,string
operate_company,Type,string
operate_company,Principal_activities,string
operate_company,Incorporated_in,string
operate_company,Group_Equity_Shareholding,num
