table_name,column_name,column_type
businesses,address,string
businesses,application_date,date
businesses,business_certificate,num
businesses,business_id,num
businesses,city,string
businesses,latitude,num
businesses,longitude,num
businesses,name,string
businesses,owner_address,string
businesses,owner_city,string
businesses,owner_name,string
businesses,owner_state,string
businesses,owner_zip,string
businesses,phone_number,num
businesses,postal_code,string
businesses,tax_code,string
inspections,business_id,num
inspections,date,date
inspections,score,num
inspections,type,string
violations,business_id,num
violations,date,date
violations,description,string
violations,risk_category,string
violations,violation_type_id,string
