table_name,column_name,column_type
employee,address,string
employee,city,string
employee,employee_id,num
employee,first_name,string
employee,last_name,string
employee,phone,string
employee,salary,num
employee,state,string
employee,supervisor,string
employee,title,string
employee,zip,string
establishment,address,string
establishment,aka_name,string
establishment,city,string
establishment,dba_name,string
establishment,facility_type,string
establishment,latitude,string
establishment,license_no,num
establishment,longitude,num
establishment,risk_level,num
establishment,state,string
establishment,ward,num
establishment,zip,num
inspection,employee_id,num
inspection,followup_to,num
inspection,inspection_date,date
inspection,inspection_id,num
inspection,inspection_type,string
inspection,license_no,num
inspection,results,string
inspection_point,Description,string
inspection_point,category,string
inspection_point,code,string
inspection_point,fine,num
inspection_point,point_id,num
inspection_point,point_level,string
violation,fine,num
violation,inspection_id,num
violation,inspector_comment,string
violation,point_id,num
