table_name,column_name,column_type
circuits,circuitId,num
circuits,circuitRef,string
circuits,name,string
circuits,location,string
circuits,country,string
circuits,lat,num
circuits,lng,num
circuits,alt,string
circuits,url,string
constructorResults,constructorResultsId,num
constructorResults,raceId,num
constructorResults,constructorId,num
constructorResults,points,num
constructorResults,status,string
constructorStandings,constructorStandingsId,num
constructorStandings,raceId,num
constructorStandings,constructorId,num
constructorStandings,points,num
constructorStandings,position,num
constructorStandings,positionText,string
constructorStandings,wins,num
constructors,constructorId,num
constructors,constructorRef,string
constructors,name,string
constructors,nationality,string
constructors,url,string
driverStandings,driverStandingsId,num
driverStandings,raceId,num
driverStandings,driverId,num
driverStandings,points,num
driverStandings,position,num
driverStandings,positionText,string
driverStandings,wins,num
drivers,driverId,num
drivers,driverRef,string
drivers,number,string
drivers,code,string
drivers,forename,string
drivers,surname,string
drivers,dob,string
drivers,nationality,string
drivers,url,string
lapTimes,raceId,num
lapTimes,driverId,num
lapTimes,lap,num
lapTimes,position,num
lapTimes,time,string
lapTimes,milliseconds,num
pitStops,raceId,num
pitStops,driverId,num
pitStops,stop,num
pitStops,lap,num
pitStops,time,string
pitStops,duration,string
pitStops,milliseconds,num
qualifying,qualifyId,num
qualifying,raceId,num
qualifying,driverId,num
qualifying,constructorId,num
qualifying,number,num
qualifying,position,num
qualifying,q1,string
qualifying,q2,string
qualifying,q3,string
races,raceId,num
races,year,num
races,round,num
races,circuitId,num
races,name,string
races,date,string
races,time,string
races,url,string
results,resultId,num
results,raceId,num
results,driverId,num
results,constructorId,num
results,number,num
results,grid,num
results,position,string
results,positionText,string
results,positionOrder,num
results,points,num
results,laps,string
results,time,string
results,milliseconds,string
results,fastestLap,string
results,rank,string
results,fastestLapTime,string
results,fastestLapSpeed,string
results,statusId,num
seasons,year,num
seasons,url,string
status,statusId,num
status,status,string
