table_name,column_name,column_type
activity_logs,id,num
activity_logs,log_name,string
activity_logs,description,string
activity_logs,subject_id,num
activity_logs,subject_type,string
activity_logs,causer_id,num
activity_logs,causer_type,string
activity_logs,properties,string
activity_logs,created_at,date
activity_logs,updated_at,date
attachments,id,num
attachments,thread_id,num
attachments,user_id,num
attachments,file_dir,string
attachments,file_name,string
attachments,mime_type,string
attachments,type,num
attachments,size,num
attachments,embedded,num
attachments,public,num
conversation_folder,id,num
conversation_folder,folder_id,num
conversation_folder,conversation_id,num
conversations,id,num
conversations,number,num
conversations,threads_count,num
conversations,type,num
conversations,folder_id,num
conversations,status,num
conversations,state,num
conversations,subject,string
conversations,customer_email,string
conversations,cc,string
conversations,bcc,string
conversations,preview,string
conversations,imported,num
conversations,has_attachments,num
conversations,mailbox_id,num
conversations,user_id,num
conversations,customer_id,num
conversations,created_by_user_id,num
conversations,created_by_customer_id,num
conversations,source_via,num
conversations,source_type,num
conversations,closed_by_user_id,num
conversations,closed_at,date
conversations,user_updated_at,date
conversations,last_reply_at,date
conversations,last_reply_from,num
conversations,read_by_user,num
conversations,created_at,date
conversations,updated_at,date
conversations,channel,num
customers,id,num
customers,first_name,string
customers,last_name,string
customers,company,string
customers,job_title,string
customers,photo_type,num
customers,photo_url,string
customers,phones,string
customers,websites,string
customers,social_profiles,string
customers,notes,string
customers,address,string
customers,city,string
customers,state,string
customers,zip,string
customers,country,string
customers,created_at,date
customers,updated_at,date
customers,channel,num
customers,channel_id,string
customers,meta,string
emails,id,num
emails,customer_id,num
emails,email,string
emails,type,num
folders,id,num
folders,mailbox_id,num
folders,user_id,num
folders,type,num
folders,total_count,num
folders,active_count,num
folders,meta,string
followers,id,num
followers,conversation_id,num
followers,user_id,num
followers,added_by_user_id,num
ltm_translations,id,num
ltm_translations,status,num
ltm_translations,locale,string
ltm_translations,group,string
ltm_translations,value,string
ltm_translations,created_at,date
ltm_translations,updated_at,date
ltm_translations,hash,string
mailbox_user,id,num
mailbox_user,mailbox_id,num
mailbox_user,user_id,num
mailbox_user,after_send,num
mailbox_user,hide,num
mailbox_user,mute,num
mailbox_user,access,string
mailboxes,id,num
mailboxes,name,string
mailboxes,email,string
mailboxes,aliases,string
mailboxes,from_name,num
mailboxes,from_name_custom,string
mailboxes,ticket_status,num
mailboxes,ticket_assignee,num
mailboxes,template,num
mailboxes,signature,string
mailboxes,out_method,num
mailboxes,out_server,string
mailboxes,out_username,string
mailboxes,out_password,string
mailboxes,out_port,num
mailboxes,out_encryption,num
mailboxes,in_server,string
mailboxes,in_port,num
mailboxes,in_username,string
mailboxes,in_password,string
mailboxes,in_protocol,num
mailboxes,in_encryption,num
mailboxes,auto_reply_enabled,num
mailboxes,auto_reply_subject,string
mailboxes,auto_reply_message,string
mailboxes,office_hours_enabled,num
mailboxes,ratings,num
mailboxes,ratings_placement,num
mailboxes,ratings_text,string
mailboxes,created_at,date
mailboxes,updated_at,date
mailboxes,in_validate_cert,num
mailboxes,in_imap_folders,string
mailboxes,auto_bcc,string
mailboxes,before_reply,string
mailboxes,imap_sent_folder,string
mailboxes,meta,string
modules,id,num
modules,alias,string
modules,active,num
modules,activated,num
modules,license,string
notifications,id,string
notifications,type,string
notifications,notifiable_id,num
notifications,notifiable_type,string
notifications,data,string
notifications,read_at,date
notifications,created_at,date
notifications,updated_at,date
options,id,num
options,name,string
options,value,string
polycast_events,id,num
polycast_events,channels,string
polycast_events,event,string
polycast_events,payload,string
polycast_events,created_at,date
send_logs,id,num
send_logs,thread_id,num
send_logs,customer_id,num
send_logs,user_id,num
send_logs,message_id,string
send_logs,email,string
send_logs,mail_type,num
send_logs,status,num
send_logs,status_message,string
send_logs,created_at,date
send_logs,updated_at,date
subscriptions,id,num
subscriptions,user_id,num
subscriptions,medium,num
subscriptions,event,num
threads,id,num
threads,conversation_id,num
threads,user_id,num
threads,type,num
threads,subtype,num
threads,status,num
threads,state,num
threads,action_type,num
threads,action_data,string
threads,body,string
threads,headers,string
threads,from,string
threads,to,string
threads,cc,string
threads,bcc,string
threads,has_attachments,num
threads,message_id,string
threads,source_via,num
threads,source_type,num
threads,customer_id,num
threads,created_by_user_id,num
threads,created_by_customer_id,num
threads,edited_by_user_id,num
threads,edited_at,date
threads,body_original,string
threads,first,num
threads,saved_reply_id,num
threads,send_status,num
threads,send_status_data,string
threads,opened_at,date
threads,created_at,date
threads,updated_at,date
threads,meta,string
threads,imported,num
users,id,num
users,first_name,string
users,last_name,string
users,email,string
users,password,string
users,role,num
users,timezone,string
users,photo_url,string
users,type,num
users,status,num
users,invite_state,num
users,invite_hash,string
users,emails,string
users,job_title,string
users,phone,string
users,time_format,num
users,enable_kb_shortcuts,num
users,locked,num
users,remember_token,string
users,locale,string
users,created_at,date
users,updated_at,date
users,permissions,string
