table_name,column_name,column_type
game,stadium_id,num
game,id,num
game,Season,num
game,Date,string
game,Home_team,string
game,Away_team,string
game,Score,string
game,Competition,string
injury_accident,game_id,num
injury_accident,id,num
injury_accident,Player,string
injury_accident,Injury,string
injury_accident,Number_of_matches,string
injury_accident,Source,string
stadium,id,num
stadium,name,string
stadium,Home_Games,num
stadium,Average_Attendance,num
stadium,Total_Attendance,num
stadium,Capacity_Percentage,num
