table_name,column_name,column_type
company,Company_ID,num
company,Rank,num
company,Company,string
company,Headquarters,string
company,Main_Industry,string
company,Sales_billion,num
company,Profits_billion,num
company,Assets_billion,num
company,Market_Value,num
gas_station,Station_ID,num
gas_station,Open_Year,num
gas_station,Location,string
gas_station,Manager_Name,string
gas_station,Vice_Manager_Name,string
gas_station,Representative_Name,string
station_company,Station_ID,num
station_company,Company_ID,num
station_company,Rank_of_the_Year,num
