table_name,column_name,column_type
border_info,state_name,string
border_info,border,string
city,city_name,string
city,population,num
city,country_name,string
city,state_name,string
highlow,state_name,string
highlow,highest_elevation,string
highlow,lowest_point,string
highlow,highest_point,string
highlow,lowest_elevation,string
lake,lake_name,string
lake,area,num
lake,country_name,string
lake,state_name,string
mountain,mountain_name,string
mountain,mountain_altitude,num
mountain,country_name,string
mountain,state_name,string
river,river_name,string
river,length,num
river,country_name,string
river,traverse,string
state,state_name,string
state,population,num
state,area,num
state,country_name,string
state,capital,string
state,density,num
