table_name,column_name,column_type
Analytical_Layer,Analytical_ID,num
Analytical_Layer,Customers_and_Services_ID,string
Analytical_Layer,Pattern_Recognition,string
Analytical_Layer,Analytical_Layer_Type_Code,string
Channels,Channel_ID,num
Channels,Channel_Details,string
Customer_Interactions,Customer_Interaction_ID,num
Customer_Interactions,Channel_ID,num
Customer_Interactions,Customer_ID,num
Customer_Interactions,Service_ID,num
Customer_Interactions,Status_Code,string
Customer_Interactions,Services_and_Channels_Details,string
Customers,Customer_ID,num
Customers,Customer_Details,string
Customers_and_Services,Customers_and_Services_ID,num
Customers_and_Services,Customer_ID,num
Customers_and_Services,Service_ID,num
Customers_and_Services,Customers_and_Services_Details,string
Integration_Platform,Integration_Platform_ID,num
Integration_Platform,Customer_Interaction_ID,num
Integration_Platform,Integration_Platform_Details,string
Services,Service_ID,num
Services,Service_Details,string
