table_name,column_name,column_type
account,id,string
account,email,string
account,date_created,date
account,stripe_customer_id,string
account,stripe_subscription_id,string
account,plan,string
account,referrer,string
account,active,num
invite,id,num
invite,invite_id,string
invite,email,string
invite,account_id,string
invite,date_sent,date
invite,used,num
user,id,string
user,name,string
user,email,string
user,password,string
user,date_created,date
user,last_login,date
user,permission,string
user,push_token,string
user,account_id,string
