table_name,column_name,column_type
accounts_customuser,password,string
accounts_customuser,last_login,date
accounts_customuser,is_superuser,num
accounts_customuser,username,string
accounts_customuser,first_name,string
accounts_customuser,last_name,string
accounts_customuser,email,string
accounts_customuser,is_staff,num
accounts_customuser,is_active,num
accounts_customuser,date_joined,date
accounts_customuser,id,string
accounts_customuser,karma,num
accounts_customuser,about,string
accounts_customuser,level,num
accounts_customuser,lft,num
accounts_customuser,parent_id,string
accounts_customuser,rght,num
accounts_customuser,tree_id,num
accounts_customuser,used_invitation_id,string
accounts_customuser_groups,id,num
accounts_customuser_groups,customuser_id,string
accounts_customuser_groups,group_id,num
accounts_customuser_user_permissions,id,num
accounts_customuser_user_permissions,customuser_id,string
accounts_customuser_user_permissions,permission_id,num
accounts_emailverification,id,string
accounts_emailverification,created_at,date
accounts_emailverification,changed_at,date
accounts_emailverification,verified,num
accounts_emailverification,verified_at,date
accounts_emailverification,email,string
accounts_emailverification,user_id,string
accounts_emailverification,verification_code,string
accounts_invitation,id,string
accounts_invitation,created_at,date
accounts_invitation,changed_at,date
accounts_invitation,num_signups,num
accounts_invitation,invited_email_address,string
accounts_invitation,invite_code,string
accounts_invitation,inviting_user_id,string
accounts_passwordresetrequest,id,string
accounts_passwordresetrequest,created_at,date
accounts_passwordresetrequest,changed_at,date
accounts_passwordresetrequest,verification_code,string
accounts_passwordresetrequest,user_id,string
auth_group,id,num
auth_group,name,string
auth_group_permissions,id,num
auth_group_permissions,group_id,num
auth_group_permissions,permission_id,num
auth_permission,id,num
auth_permission,name,string
auth_permission,content_type_id,num
auth_permission,codename,string
django_admin_log,id,num
django_admin_log,action_time,date
django_admin_log,object_id,string
django_admin_log,object_repr,string
django_admin_log,action_flag,num
django_admin_log,change_message,string
django_admin_log,content_type_id,num
django_admin_log,user_id,string
django_content_type,id,num
django_content_type,app_label,string
django_content_type,model,string
django_migrations,id,num
django_migrations,app,string
django_migrations,name,string
django_migrations,applied,date
django_session,session_key,string
django_session,session_data,string
django_session,expire_date,date
emaildigest_anonymoussubscription,subscription_ptr_id,string
emaildigest_anonymoussubscription,email,string
emaildigest_anonymoussubscription,verified,num
emaildigest_anonymoussubscription,verified_at,date
emaildigest_anonymoussubscription,verification_code,string
emaildigest_anonymoussubscription,logged_in_user_id,string
emaildigest_emaildigest,id,string
emaildigest_emaildigest,created_at,date
emaildigest_emaildigest,changed_at,date
emaildigest_emaildigest,frequency,string
emaildigest_emaildigest,weekly_weekday,string
emaildigest_emaildigest_stories,id,num
emaildigest_emaildigest_stories,emaildigest_id,string
emaildigest_emaildigest_stories,story_id,string
emaildigest_subscription,id,string
emaildigest_subscription,created_at,date
emaildigest_subscription,changed_at,date
emaildigest_subscription,frequency,string
emaildigest_subscription,weekly_weekday,string
emaildigest_subscription,verfied_email,string
emaildigest_subscription,is_active,num
emaildigest_unsubscription,id,string
emaildigest_unsubscription,created_at,date
emaildigest_unsubscription,changed_at,date
emaildigest_unsubscription,from_digest_id,string
emaildigest_unsubscription,subscription_id,string
emaildigest_usersubscription,subscription_ptr_id,string
emaildigest_usersubscription,user_id,string
news_comment,item_ptr_id,string
news_comment,text,string
news_comment,to_story_id,string
news_item,id,string
news_item,created_at,date
news_item,changed_at,date
news_item,upvotes,num
news_item,downvotes,num
news_item,points,num
news_item,num_comments,num
news_item,lft,num
news_item,rght,num
news_item,tree_id,num
news_item,level,num
news_item,parent_id,string
news_item,user_id,string
news_item,is_ask,num
news_item,is_show,num
news_story,item_ptr_id,string
news_story,url,string
news_story,text,string
news_story,title,string
news_story,duplicate_of_id,string
news_story,domain,string
news_vote,id,string
news_vote,created_at,date
news_vote,changed_at,date
news_vote,item_id,string
news_vote,user_id,string
news_vote,vote,num
