table_name,column_name,column_type
attachments,id,num
attachments,path,string
attachments,attachable_id,num
attachments,attachable_type,string
attachments,created_at,date
attachments,updated_at,date
comments,id,num
comments,ticket_id,num
comments,user_id,num
comments,new_status,num
comments,private,num
comments,body,string
comments,created_at,date
comments,updated_at,date
failed_jobs,id,num
failed_jobs,connection,string
failed_jobs,queue,string
failed_jobs,payload,string
failed_jobs,exception,string
failed_jobs,failed_at,date
ideas,id,num
ideas,requester_id,num
ideas,status,num
ideas,title,string
ideas,repository,string
ideas,issue_id,num
ideas,due_date,date
ideas,body,string
ideas,development_effort,num
ideas,sales_impact,num
ideas,current_impact,num
ideas,created_at,date
ideas,updated_at,date
ideas,deleted_at,date
kpis,date,date
kpis,type,num
kpis,kpi,num
kpis,relation_id,num
kpis,total,num
kpis,count,num
lead_status_updates,id,num
lead_status_updates,new_status,num
lead_status_updates,body,string
lead_status_updates,lead_id,num
lead_status_updates,user_id,num
lead_status_updates,created_at,date
lead_status_updates,updated_at,date
leads,id,num
leads,email,string
leads,status,num
leads,team_id,num
leads,user_id,num
leads,name,string
leads,body,string
leads,username,string
leads,address,string
leads,city,string
leads,country,string
leads,postal_code,string
leads,company,string
leads,phone,string
leads,created_at,date
leads,updated_at,date
leads,deleted_at,date
memberships,id,num
memberships,user_id,num
memberships,team_id,num
memberships,admin,num
memberships,created_at,date
memberships,updated_at,date
merged_tickets,id,num
merged_tickets,ticket_id,num
merged_tickets,merged_ticket_id,num
merged_tickets,created_at,date
merged_tickets,updated_at,date
migrations,id,num
migrations,migration,string
migrations,batch,num
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
requesters,id,num
requesters,name,string
requesters,email,string
requesters,created_at,date
requesters,updated_at,date
requesters,no_reply,num
settings,id,num
settings,slack_webhook_url,string
settings,default_team_id,num
settings,created_at,date
settings,updated_at,date
taggables,tag_id,num
taggables,taggable_id,num
taggables,taggable_type,string
tags,id,num
tags,name,string
tags,created_at,date
tags,updated_at,date
tasks,id,num
tasks,lead_id,num
tasks,user_id,num
tasks,body,string
tasks,datetime,date
tasks,completed,num
tasks,created_at,date
tasks,updated_at,date
teams,id,num
teams,name,string
teams,email,string
teams,slack_webhook_url,string
teams,token,string
teams,created_at,date
teams,updated_at,date
ticket_events,id,num
ticket_events,ticket_id,num
ticket_events,user_id,num
ticket_events,body,string
ticket_events,created_at,date
ticket_events,updated_at,date
ticket_types,id,num
ticket_types,name,string
ticket_types,color,string
ticket_types,deleted_at,date
ticket_types,created_at,date
ticket_types,updated_at,date
tickets,id,num
tickets,title,string
tickets,body,string
tickets,public_token,string
tickets,requester_id,num
tickets,team_id,num
tickets,user_id,num
tickets,status,num
tickets,priority,num
tickets,level,num
tickets,rating,num
tickets,created_at,date
tickets,updated_at,date
tickets,deleted_at,date
tickets,ticket_type_id,num
tickets,subject,string
tickets,summary,string
user_settings,id,num
user_settings,user_id,num
user_settings,daily_tasks_notification,num
user_settings,tickets_signature,string
user_settings,new_ticket_notification,num
user_settings,ticket_assigned_notification,num
user_settings,ticket_updated_notification,num
user_settings,new_lead_notification,num
user_settings,lead_assigned_notification,num
user_settings,new_idea_notification,num
user_settings,mention_notification,num
user_settings,ticket_rated_notification,num
user_settings,created_at,date
user_settings,updated_at,date
user_settings,escalated_ticket_notification,num
users,id,num
users,name,string
users,email,string
users,locale,string
users,password,string
users,admin,num
users,assistant,num
users,remember_token,string
users,created_at,date
users,updated_at,date
users,can_see_reports,num
users,token,string
