table_name,column_name,column_type
accounts_profile,id,num
accounts_profile,next_report_date,date
accounts_profile,reports_allowed,num
accounts_profile,user_id,num
accounts_profile,ping_log_limit,num
accounts_profile,token,string
accounts_profile,check_limit,num
accounts_profile,last_sms_date,date
accounts_profile,sms_limit,num
accounts_profile,sms_sent,num
accounts_profile,team_limit,num
accounts_profile,sort,string
accounts_profile,nag_period,num
accounts_profile,next_nag_date,date
accounts_profile,deletion_notice_date,date
accounts_profile,last_active_date,date
accounts_project,id,num
accounts_project,code,string
accounts_project,name,string
accounts_project,api_key,string
accounts_project,api_key_readonly,string
accounts_project,owner_id,num
accounts_project,badge_key,string
accounts_member,id,num
accounts_member,user_id,num
accounts_member,project_id,num
api_channel,id,num
api_channel,code,string
api_channel,created,date
api_channel,kind,string
api_channel,value,string
api_channel,email_verified,num
api_channel,name,string
api_channel,project_id,num
api_channel,last_error,string
api_channel_checks,id,num
api_channel_checks,channel_id,num
api_channel_checks,check_id,num
api_check,id,num
api_check,code,string
api_check,last_ping,date
api_check,alert_after,date
api_check,status,string
api_check,timeout,num
api_check,name,string
api_check,created,date
api_check,grace,num
api_check,tags,string
api_check,n_pings,num
api_check,kind,string
api_check,schedule,string
api_check,tz,string
api_check,has_confirmation_link,num
api_check,last_ping_was_fail,num
api_check,desc,string
api_check,last_start,date
api_check,subject,string
api_check,project_id,num
api_check,last_duration,num
api_check,methods,string
api_flip,id,num
api_flip,created,date
api_flip,processed,date
api_flip,old_status,string
api_flip,new_status,string
api_flip,owner_id,num
api_notification,id,num
api_notification,check_status,string
api_notification,created,date
api_notification,channel_id,num
api_notification,owner_id,num
api_notification,error,string
api_notification,code,string
api_ping,id,num
api_ping,created,date
api_ping,remote_addr,string
api_ping,method,string
api_ping,ua,string
api_ping,owner_id,num
api_ping,scheme,string
api_ping,n,num
api_ping,body,string
api_ping,kind,string
api_tokenbucket,id,num
api_tokenbucket,value,string
api_tokenbucket,tokens,num
api_tokenbucket,updated,date
auth_user,id,num
auth_user,password,string
auth_user,last_login,date
auth_user,is_superuser,num
auth_user,username,string
auth_user,first_name,string
auth_user,last_name,string
auth_user,email,string
auth_user,is_staff,num
auth_user,is_active,num
auth_user,date_joined,date
payments_subscription,id,num
payments_subscription,customer_id,string
payments_subscription,payment_method_token,string
payments_subscription,subscription_id,string
payments_subscription,user_id,num
payments_subscription,plan_id,string
payments_subscription,address_id,string
payments_subscription,send_invoices,num
payments_subscription,plan_name,string
payments_subscription,invoice_email,string
