table_name,column_name,column_type
AwardsCoaches,award,string
AwardsCoaches,coachID,string
AwardsCoaches,lgID,string
AwardsCoaches,note,string
AwardsCoaches,year,num
AwardsMisc,ID,num
AwardsMisc,award,string
AwardsMisc,lgID,string
AwardsMisc,name,string
AwardsMisc,note,string
AwardsMisc,year,num
AwardsPlayers,award,string
AwardsPlayers,lgID,string
AwardsPlayers,note,string
AwardsPlayers,playerID,string
AwardsPlayers,pos,string
AwardsPlayers,year,num
Coaches,coachID,string
Coaches,g,num
Coaches,l,num
Coaches,lgID,string
Coaches,notes,string
Coaches,postg,num
Coaches,postl,num
Coaches,postt,num
Coaches,postw,num
Coaches,stint,num
Coaches,t,num
Coaches,tmID,string
Coaches,w,num
Coaches,year,string
CombinedShutouts,IDgoalie1,string
CombinedShutouts,IDgoalie2,string
CombinedShutouts,R/P,string
CombinedShutouts,date,date
CombinedShutouts,month,num
CombinedShutouts,oppID,string
CombinedShutouts,tmID,string
CombinedShutouts,year,string
Goalies,ENG,num
Goalies,GA,string
Goalies,GP,num
Goalies,L,num
Goalies,Min,string
Goalies,PostENG,num
Goalies,PostGA,string
Goalies,PostGP,num
Goalies,PostL,num
Goalies,PostMin,string
Goalies,PostSA,num
Goalies,PostSHO,num
Goalies,PostT,num
Goalies,PostW,num
Goalies,SA,string
Goalies,SHO,num
Goalies,T/OL,num
Goalies,W,num
Goalies,lgID,string
Goalies,playerID,num
Goalies,stint,num
Goalies,tmID,string
Goalies,year,num
GoaliesSC,GA,num
GoaliesSC,GP,num
GoaliesSC,L,num
GoaliesSC,Min,num
GoaliesSC,SHO,num
GoaliesSC,T,num
GoaliesSC,W,num
GoaliesSC,lgID,string
GoaliesSC,playerID,string
GoaliesSC,tmID,string
GoaliesSC,year,num
GoaliesShootout,GA,num
GoaliesShootout,L,num
GoaliesShootout,SA,num
GoaliesShootout,W,num
GoaliesShootout,playerID,num
GoaliesShootout,tmID,num
GoaliesShootout,year,num
HOF,category,string
HOF,hofID,num
HOF,name,string
HOF,year,string
Master,birthCity,string
Master,birthCountry,string
Master,birthDay,string
Master,birthMon,string
Master,birthState,string
Master,birthYear,string
Master,coachID,string
Master,deathCity,string
Master,deathCountry,string
Master,deathDay,string
Master,deathMon,string
Master,deathState,string
Master,deathYear,string
Master,firstNHL,string
Master,firstName,string
Master,firstWHA,num
Master,height,string
Master,hofID,string
Master,hrefID,string
Master,ihdbID,string
Master,lastNHL,string
Master,lastName,string
Master,lastWHA,num
Master,legendsID,string
Master,nameGiven,string
Master,nameNick,string
Master,nameNote,string
Master,playerID,num
Master,pos,string
Master,shootCatch,string
Master,weight,string
Scoring,+/-,num
Scoring,A,num
Scoring,G,num
Scoring,GP,num
Scoring,GTG,num
Scoring,GWG,num
Scoring,PIM,num
Scoring,PPA,num
Scoring,PPG,num
Scoring,Post+/-,string
Scoring,PostA,num
Scoring,PostG,num
Scoring,PostGP,num
Scoring,PostGWG,num
Scoring,PostPIM,num
Scoring,PostPPA,num
Scoring,PostPPG,num
Scoring,PostPts,string
Scoring,PostSHA,num
Scoring,PostSHG,num
Scoring,PostSOG,num
Scoring,Pts,num
Scoring,SHA,num
Scoring,SHG,num
Scoring,SOG,num
Scoring,lgID,string
Scoring,playerID,string
Scoring,pos,string
Scoring,stint,num
Scoring,tmID,string
Scoring,year,num
ScoringSC,A,num
ScoringSC,G,num
ScoringSC,GP,num
ScoringSC,PIM,num
ScoringSC,Pts,num
ScoringSC,lgID,string
ScoringSC,playerID,num
ScoringSC,pos,string
ScoringSC,tmID,string
ScoringSC,year,num
ScoringShootout,G,num
ScoringShootout,GDG,num
ScoringShootout,S,num
ScoringShootout,playerID,num
ScoringShootout,stint,num
ScoringShootout,tmID,string
ScoringShootout,year,num
ScoringSup,PPA,num
ScoringSup,SHA,num
ScoringSup,playerID,string
SeriesPost,GoalsLoser,num
SeriesPost,GoalsWinner,num
SeriesPost,L,num
SeriesPost,T,num
SeriesPost,W,num
SeriesPost,lgIDLoser,string
SeriesPost,lgIDWinner,string
SeriesPost,note,string
SeriesPost,round,string
SeriesPost,series,string
SeriesPost,tmIDLoser,string
SeriesPost,tmIDWinner,string
SeriesPost,year,num
TeamSplits,AprL,num
TeamSplits,AprOL,num
TeamSplits,AprT,num
TeamSplits,AprW,num
TeamSplits,DecL,num
TeamSplits,DecOL,num
TeamSplits,DecT,num
TeamSplits,DecW,num
TeamSplits,FebL,num
TeamSplits,FebOL,num
TeamSplits,FebT,num
TeamSplits,FebW,num
TeamSplits,JanL,num
TeamSplits,JanOL,num
TeamSplits,JanT,num
TeamSplits,JanW,num
TeamSplits,MarL,num
TeamSplits,MarOL,num
TeamSplits,MarT,num
TeamSplits,MarW,num
TeamSplits,NovL,num
TeamSplits,NovOL,num
TeamSplits,NovT,num
TeamSplits,NovW,num
TeamSplits,OctL,num
TeamSplits,OctOL,num
TeamSplits,OctT,num
TeamSplits,OctW,num
TeamSplits,SepL,num
TeamSplits,SepOL,num
TeamSplits,SepT,num
TeamSplits,SepW,num
TeamSplits,hL,num
TeamSplits,hOTL,num
TeamSplits,hT,num
TeamSplits,hW,num
TeamSplits,lgID,string
TeamSplits,rL,num
TeamSplits,rOTL,num
TeamSplits,rT,num
TeamSplits,rW,num
TeamSplits,tmID,string
TeamSplits,year,string
TeamVsTeam,L,num
TeamVsTeam,OTL,num
TeamVsTeam,T,num
TeamVsTeam,W,num
TeamVsTeam,lgID,string
TeamVsTeam,oppID,string
TeamVsTeam,tmID,string
TeamVsTeam,year,string
Teams,BenchMinor,string
Teams,G,num
Teams,GA,num
Teams,GF,num
Teams,L,num
Teams,OTL,num
Teams,PIM,num
Teams,PKC,num
Teams,PKG,num
Teams,PPC,num
Teams,PPG,num
Teams,Pts,num
Teams,SHA,num
Teams,SHF,num
Teams,SoL,num
Teams,SoW,num
Teams,T,num
Teams,W,num
Teams,confID,string
Teams,divID,string
Teams,franchID,num
Teams,lgID,string
Teams,name,string
Teams,playoff,string
Teams,rank,num
Teams,tmID,num
Teams,year,num
TeamsHalf,G,num
TeamsHalf,GA,num
TeamsHalf,GF,num
TeamsHalf,L,num
TeamsHalf,T,num
TeamsHalf,W,num
TeamsHalf,half,num
TeamsHalf,lgID,string
TeamsHalf,rank,num
TeamsHalf,tmID,num
TeamsHalf,year,num
TeamsPost,BenchMinor,num
TeamsPost,G,num
TeamsPost,GA,num
TeamsPost,GF,num
TeamsPost,L,num
TeamsPost,PIM,string
TeamsPost,PKC,num
TeamsPost,PKG,num
TeamsPost,PPC,num
TeamsPost,PPG,num
TeamsPost,SHA,num
TeamsPost,SHF,num
TeamsPost,T,num
TeamsPost,W,num
TeamsPost,lgID,string
TeamsPost,tmID,string
TeamsPost,year,string
TeamsSC,G,num
TeamsSC,GA,num
TeamsSC,GF,num
TeamsSC,L,num
TeamsSC,PIM,num
TeamsSC,T,num
TeamsSC,W,num
TeamsSC,lgID,string
TeamsSC,tmID,num
TeamsSC,year,string
abbrev,Code,string
abbrev,Fullname,string
abbrev,Type,string
