table_name,column_name,column_type
users,id,num
users,login,string
users,name,string
users,email,string
users,email_md5,string
users,email_public,boolean
users,location,string
users,location_id,num
users,bio,string
users,website,string
users,company,string
users,github,string
users,twitter,string
users,avatar,string
users,state,num
users,tagline,string
users,created_at,date
users,updated_at,date
users,encrypted_password,string
users,reset_password_token,string
users,reset_password_sent_at,date
users,remember_created_at,date
users,sign_in_count,num
users,current_sign_in_at,date
users,last_sign_in_at,date
users,current_sign_in_ip,string
users,last_sign_in_ip,string
users,password_salt,string
users,persistence_token,string
user_ssos,id,num
user_ssos,user_id,num
user_ssos,uid,string
user_ssos,username,string
user_ssos,email,string
user_ssos,name,string
user_ssos,avatar_url,string
user_ssos,last_payload,string
user_ssos,created_at,date
user_ssos,updated_at,date
topics,id,num
topics,user_id,num
topics,node_id,num
topics,title,string
topics,body,string
topics,last_reply_id,num
topics,last_reply_user_id,num
topics,last_reply_user_login,string
topics,node_name,string
topics,who_deleted,string
topics,last_active_mark,num
topics,lock_node,boolean
topics,suggested_at,date
topics,grade,num
topics,replied_at,date
topics,replies_count,num
topics,likes_count,num
topics,mentioned_user_ids,num
topics,deleted_at,date
topics,created_at,date
topics,updated_at,date
topics,closed_at,date
topics,team_id,num
team_users,id,num
team_users,team_id,num
team_users,user_id,num
team_users,role,num
team_users,status,num
team_users,created_at,date
team_users,updated_at,date
settings,id,num
settings,var,string
settings,value,string
settings,thing_id,num
settings,thing_type,string
settings,created_at,date
settings,updated_at,date
sections,id,num
sections,name,string
sections,sort,num
sections,created_at,date
sections,updated_at,date
replies,id,num
replies,user_id,num
replies,topic_id,num
replies,body,string
replies,state,num
replies,likes_count,num
replies,mentioned_user_ids,num
replies,deleted_at,date
replies,created_at,date
replies,updated_at,date
replies,action,string
replies,target_type,string
replies,target_id,string
replies,reply_to_id,num
photos,id,num
photos,user_id,num
photos,image,string
photos,created_at,date
photos,updated_at,date
pages,id,num
pages,slug,string
pages,title,string
pages,body,string
pages,locked,boolean
pages,version,num
pages,editor_ids,num
pages,word_count,num
pages,changes_count,num
pages,comments_count,num
pages,deleted_at,date
pages,created_at,date
pages,updated_at,date
page_versions,id,num
page_versions,user_id,num
page_versions,page_id,num
page_versions,version,num
page_versions,slug,string
page_versions,title,string
page_versions,desc,string
page_versions,body,string
page_versions,created_at,date
page_versions,updated_at,date
oauth_applications,id,num
oauth_applications,name,string
oauth_applications,uid,string
oauth_applications,secret,string
oauth_applications,redirect_uri,string
oauth_applications,scopes,string
oauth_applications,created_at,date
oauth_applications,updated_at,date
oauth_applications,owner_id,num
oauth_applications,owner_type,string
oauth_applications,level,num
oauth_applications,confidential,boolean
oauth_access_tokens,id,num
oauth_access_tokens,resource_owner_id,num
oauth_access_tokens,application_id,num
oauth_access_tokens,token,string
oauth_access_tokens,refresh_token,string
oauth_access_tokens,expires_in,num
oauth_access_tokens,revoked_at,date
oauth_access_tokens,created_at,date
oauth_access_tokens,scopes,string
oauth_access_grants,id,num
oauth_access_grants,resource_owner_id,num
oauth_access_grants,application_id,num
oauth_access_grants,token,string
oauth_access_grants,expires_in,num
oauth_access_grants,redirect_uri,string
oauth_access_grants,created_at,date
oauth_access_grants,revoked_at,date
oauth_access_grants,scopes,string
notifications,id,num
notifications,user_id,num
notifications,actor_id,num
notifications,notify_type,string
notifications,target_type,string
notifications,target_id,num
notifications,second_target_type,string
notifications,second_target_id,num
notifications,third_target_type,string
notifications,third_target_id,num
notifications,read_at,date
notifications,created_at,date
notifications,updated_at,date
notes,id,num
notes,title,string
notes,body,string
notes,user_id,num
notes,word_count,num
notes,changes_count,num
notes,publish,boolean
notes,created_at,date
notes,updated_at,date
nodes,id,num
nodes,name,string
nodes,summary,string
nodes,section_id,num
nodes,sort,num
nodes,topics_count,num
nodes,created_at,date
nodes,updated_at,date
locations,id,num
locations,name,string
locations,users_count,num
locations,created_at,date
locations,updated_at,date
exception_tracks,id,num
exception_tracks,title,string
exception_tracks,body,string
exception_tracks,created_at,date
exception_tracks,updated_at,date
devices,id,num
devices,platform,num
devices,user_id,num
devices,token,string
devices,last_actived_at,date
devices,created_at,date
devices,updated_at,date
comments,id,num
comments,body,string
comments,user_id,num
comments,commentable_type,string
comments,commentable_id,num
comments,deleted_at,date
comments,created_at,date
comments,updated_at,date
authorizations,id,num
authorizations,provider,string
authorizations,uid,string
authorizations,user_id,num
authorizations,created_at,date
authorizations,updated_at,date
actions,id,num
actions,action_type,string
actions,action_option,string
actions,target_type,string
actions,target_id,num
actions,user_type,string
actions,user_id,num
actions,created_at,date
actions,updated_at,date
