table_name,column_name,column_type
Affiliated_With,Physician,num
Affiliated_With,Department,num
Affiliated_With,PrimaryAffiliation,boolean
Appointment,AppointmentID,num
Appointment,Patient,num
Appointment,PrepNurse,num
Appointment,Physician,num
Appointment,Start,date
Appointment,End,date
Appointment,ExaminationRoom,string
Block,BlockFloor,num
Block,BlockCode,num
Department,DepartmentID,num
Department,Name,string
Department,Head,num
Medication,Code,num
Medication,Name,string
Medication,Brand,string
Medication,Description,string
Nurse,EmployeeID,num
Nurse,Name,string
Nurse,Position,string
Nurse,Registered,boolean
Nurse,SSN,num
On_Call,Nurse,num
On_Call,BlockFloor,num
On_Call,BlockCode,num
On_Call,OnCallStart,date
On_Call,OnCallEnd,date
Patient,SSN,num
Patient,Name,string
Patient,Address,string
Patient,Phone,string
Patient,InsuranceID,num
Patient,PCP,num
Physician,EmployeeID,num
Physician,Name,string
Physician,Position,string
Physician,SSN,num
Prescribes,Physician,num
Prescribes,Patient,num
Prescribes,Medication,num
Prescribes,Date,date
Prescribes,Appointment,num
Prescribes,Dose,string
Procedures,Code,num
Procedures,Name,string
Procedures,Cost,num
Room,RoomNumber,num
Room,RoomType,string
Room,BlockFloor,num
Room,BlockCode,num
Room,Unavailable,boolean
Stay,StayID,num
Stay,Patient,num
Stay,Room,num
Stay,StayStart,date
Stay,StayEnd,date
Trained_In,Physician,num
Trained_In,Treatment,num
Trained_In,CertificationDate,date
Trained_In,CertificationExpires,date
Undergoes,Patient,num
Undergoes,Procedures,num
Undergoes,Stay,num
Undergoes,DateUndergoes,date
Undergoes,Physician,num
Undergoes,AssistingNurse,num
