table_name,column_name,column_type
countries,COUNTRY_ID,string
countries,COUNTRY_NAME,string
countries,REGION_ID,others
departments,DEPARTMENT_ID,others
departments,DEPARTMENT_NAME,string
departments,MANAGER_ID,others
departments,LOCATION_ID,others
employees,EMPLOYEE_ID,others
employees,FIRST_NAME,string
employees,LAST_NAME,string
employees,EMAIL,string
employees,PHONE_NUMBER,string
employees,HIRE_DATE,date
employees,JOB_ID,string
employees,SALARY,others
employees,COMMISSION_PCT,others
employees,MANAGER_ID,others
employees,DEPARTMENT_ID,others
job_history,EMPLOYEE_ID,others
job_history,START_DATE,date
job_history,END_DATE,date
job_history,JOB_ID,string
job_history,DEPARTMENT_ID,others
jobs,JOB_ID,string
jobs,JOB_TITLE,string
jobs,MIN_SALARY,others
jobs,MAX_SALARY,others
locations,LOCATION_ID,others
locations,STREET_ADDRESS,string
locations,POSTAL_CODE,string
locations,CITY,string
locations,STATE_PROVINCE,string
locations,COUNTRY_ID,string
regions,REGION_ID,others
regions,REGION_NAME,string
