table_name,column_name,column_type
employee,firstname,string
employee,gender,boolean
employee,hiredate,date
employee,lastname,string
employee,locationID,num
employee,performance,string
employee,positionID,num
employee,salary,string
employee,ssn,string
location,address,string
location,locationID,num
location,locationcity,string
location,officephone,num
location,state,string
location,zipcode,num
position,educationrequired,string
position,maxsalary,string
position,minsalary,string
position,positionID,num
position,positiontitle,string
