table_name,column_name,column_type
PlayerInfo,CSS_rank,num
PlayerInfo,ELITEID,num
PlayerInfo,GP_greater_than_0,string
PlayerInfo,PlayerName,string
PlayerInfo,birthdate,date
PlayerInfo,birthday,num
PlayerInfo,birthmonth,num
PlayerInfo,birthplace,string
PlayerInfo,draftround,num
PlayerInfo,draftyear,num
PlayerInfo,height,num
PlayerInfo,nation,string
PlayerInfo,overall,string
PlayerInfo,overallby,string
PlayerInfo,position_info,string
PlayerInfo,shoots,string
PlayerInfo,sum_7yr_GP,num
PlayerInfo,sum_7yr_TOI,num
PlayerInfo,weight,num
SeasonStatus,A,num
SeasonStatus,ELITEID,num
SeasonStatus,G,num
SeasonStatus,GAMETYPE,string
SeasonStatus,GP,num
SeasonStatus,LEAGUE,string
SeasonStatus,P,num
SeasonStatus,PIM,num
SeasonStatus,PLUSMINUS,num
SeasonStatus,SEASON,string
SeasonStatus,TEAM,string
height_info,height_id,num
height_info,height_in_cm,num
height_info,height_in_inch,string
weight_info,weight_id,num
weight_info,weight_in_kg,num
weight_info,weight_in_lbs,string
