table_name,column_name,column_type
ATT_CLASSES,ATT_CLASS,string
ATT_CLASSES,ATT_CLASS_ID,num
IMG_OBJ,H,num
IMG_OBJ,IMG_ID,num
IMG_OBJ,OBJ_CLASS_ID,num
IMG_OBJ,OBJ_SAMPLE_ID,num
IMG_OBJ,W,num
IMG_OBJ,X,num
IMG_OBJ,Y,num
IMG_OBJ_ATT,ATT_CLASS_ID,num
IMG_OBJ_ATT,IMG_ID,num
IMG_OBJ_ATT,OBJ_SAMPLE_ID,num
IMG_REL,IMG_ID,num
IMG_REL,OBJ1_SAMPLE_ID,num
IMG_REL,OBJ2_SAMPLE_ID,num
IMG_REL,PRED_CLASS_ID,num
OBJ_CLASSES,OBJ_CLASS,string
OBJ_CLASSES,OBJ_CLASS_ID,num
PRED_CLASSES,PRED_CLASS,string
PRED_CLASSES,PRED_CLASS_ID,num
