table_name,column_name,column_type
actor,aid,num
actor,gender,string
actor,name,string
actor,nationality,string
actor,birth_city,string
actor,birth_year,num
cast,id,num
cast,msid,num
cast,aid,num
cast,role,num
classification,id,num
classification,msid,num
classification,gid,num
company,id,num
company,name,string
company,country_code,string
copyright,id,num
copyright,msid,num
copyright,cid,num
directed_by,id,num
directed_by,msid,num
directed_by,did,num
director,did,num
director,gender,string
director,name,string
director,nationality,string
director,birth_city,string
director,birth_year,num
genre,gid,num
genre,genre,string
keyword,id,num
keyword,keyword,string
made_by,id,num
made_by,msid,num
made_by,pid,num
movie,mid,num
movie,title,string
movie,release_year,num
movie,title_aka,string
movie,budget,string
producer,pid,num
producer,gender,string
producer,name,string
producer,nationality,string
producer,birth_city,string
producer,birth_year,num
tags,id,num
tags,msid,num
tags,kid,num
tv_series,sid,num
tv_series,title,string
tv_series,release_year,num
tv_series,num_of_seasons,num
tv_series,num_of_episodes,num
tv_series,title_aka,string
tv_series,budget,string
writer,wid,num
writer,gender,string
writer,name,num
writer,nationality,num
writer,num_of_episodes,num
writer,birth_city,string
writer,birth_year,num
written_by,id,num
written_by,msid,num
written_by,wid,num
