table_name,column_name,column_type
Claim_Headers,Claim_Header_ID,num
Claim_Headers,Claim_Status_Code,string
Claim_Headers,Claim_Type_Code,string
Claim_Headers,Policy_ID,num
Claim_Headers,Date_of_Claim,date
Claim_Headers,Date_of_Settlement,date
Claim_Headers,Amount_Claimed,others
Claim_Headers,Amount_Piad,others
Claims_Documents,Claim_ID,num
Claims_Documents,Document_Type_Code,string
Claims_Documents,Created_by_Staff_ID,num
Claims_Documents,Created_Date,num
Claims_Processing,Claim_Processing_ID,num
Claims_Processing,Claim_ID,num
Claims_Processing,Claim_Outcome_Code,string
Claims_Processing,Claim_Stage_ID,num
Claims_Processing,Staff_ID,num
Claims_Processing_Stages,Claim_Stage_ID,num
Claims_Processing_Stages,Next_Claim_Stage_ID,num
Claims_Processing_Stages,Claim_Status_Name,string
Claims_Processing_Stages,Claim_Status_Description,string
Customers,Customer_ID,num
Customers,Customer_Details,string
Policies,Policy_ID,num
Policies,Customer_ID,num
Policies,Policy_Type_Code,string
Policies,Start_Date,date
Policies,End_Date,date
Staff,Staff_ID,num
Staff,Staff_Details,string
