table_name,column_name,column_type
Available_Policies,Policy_ID,num
Available_Policies,policy_type_code,string
Available_Policies,Customer_Phone,string
Claims,Claim_ID,num
Claims,FNOL_ID,num
Claims,Effective_Date,date
Customers,Customer_ID,num
Customers,Customer_name,string
Customers_Policies,Customer_ID,num
Customers_Policies,Policy_ID,num
Customers_Policies,Date_Opened,date
Customers_Policies,Date_Closed,date
First_Notification_of_Loss,FNOL_ID,num
First_Notification_of_Loss,Customer_ID,num
First_Notification_of_Loss,Policy_ID,num
First_Notification_of_Loss,Service_ID,num
Services,Service_ID,num
Services,Service_name,string
Settlements,Settlement_ID,num
Settlements,Claim_ID,num
Settlements,Effective_Date,date
Settlements,Settlement_Amount,num
