table_name,column_name,column_type
Claims,Claim_ID,num
Claims,Policy_ID,num
Claims,Date_Claim_Made,date
Claims,Date_Claim_Settled,date
Claims,Amount_Claimed,num
Claims,Amount_Settled,num
Customer_Policies,Policy_ID,num
Customer_Policies,Customer_ID,num
Customer_Policies,Policy_Type_Code,string
Customer_Policies,Start_Date,date
Customer_Policies,End_Date,date
Customers,Customer_ID,num
Customers,Customer_Details,string
Payments,Payment_ID,num
Payments,Settlement_ID,num
Payments,Payment_Method_Code,string
Payments,Date_Payment_Made,date
Payments,Amount_Payment,num
Settlements,Settlement_ID,num
Settlements,Claim_ID,num
Settlements,Date_Claim_Made,date
Settlements,Date_Claim_Settled,date
Settlements,Amount_Claimed,num
Settlements,Amount_Settled,num
Settlements,Customer_Policy_ID,num
