table_name,column_name,column_type
personal_access_tokens,id,num
personal_access_tokens,tokenable_type,string
personal_access_tokens,tokenable_id,num
personal_access_tokens,name,string
personal_access_tokens,token,string
personal_access_tokens,abilities,string
personal_access_tokens,last_used_at,date
personal_access_tokens,created_at,date
personal_access_tokens,updated_at,date
team_user,id,num
team_user,team_id,string
team_user,user_id,num
team_user,role,string
team_user,created_at,date
team_user,updated_at,date
teams,id,string
teams,user_id,num
teams,name,string
teams,personal_team,num
teams,created_at,date
teams,updated_at,date
users,id,num
users,name,string
users,email,string
users,email_verified_at,date
users,password,string
users,two_factor_secret,string
users,two_factor_recovery_codes,string
users,remember_token,string
users,current_team_id,string
users,profile_photo_path,string
users,created_at,date
users,updated_at,date
